script	input_name	current_placeholder	input_category	authoritative_origin	expected_public_location	upstream_producer_script	download_source_if_public	required_for_full_reproduction	resolution	notes	source	source_or_generation_route	consuming_analysis	availability	reproducibility_class	public_regeneration_status
scripts/01_bulk/01_extract_final_bulk_source.py	Fig1A_bulk_source_data.xlsx	corrupted data_public/external_inputs	D. LOCAL_PRIVATE_SOURCE	Archived final three-cohort source workbook	data_external/bulk/legacy_three_cohort/Fig1A_bulk_source_data.xlsx			NO	DOCUMENTED	Optional provenance converter; committed final donor-level source data are already under data_public.	Archived final three-cohort source workbook	Archived final three-cohort source workbook	scripts/01_bulk/01_extract_final_bulk_source.py	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/01_bulk/02_process_GSE87466.py	GSE87466_family.soft.gz	script-local geo_raw	A. PUBLIC_EXTERNAL_RAW	NCBI GEO GSE87466 family SOFT	data_external/bulk/GSE87466/GSE87466_family.soft.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87466/soft/GSE87466_family.soft.gz	YES	DOCUMENTED		NCBI GEO GSE87466 family SOFT	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87466/soft/GSE87466_family.soft.gz	scripts/01_bulk/02_process_GSE87466.py	Public download	REGENERATABLE_FROM_PUBLIC_SOURCE	YES
scripts/01_bulk/03_four_cohort_meta_analysis.py	bulk_meta_results_revised.csv	corrupted data_public/external_inputs	B. UPSTREAM_DERIVED	Frozen three-cohort meta-analysis output	data_external/bulk/legacy_three_cohort/bulk_meta_results_revised.csv			YES	DOCUMENTED	Small archived derived input retained outside Git history; final four-cohort outputs are committed.	Frozen three-cohort meta-analysis output	Frozen three-cohort meta-analysis output	scripts/01_bulk/03_four_cohort_meta_analysis.py	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/01_bulk/03_four_cohort_meta_analysis.py	GSE87466_GART_result.csv	script-local results	B. UPSTREAM_DERIVED	Output of GSE87466 processing	results_reproduced/bulk/results/GSE87466_GART_result.csv	scripts/01_bulk/02_process_GSE87466.py		YES	DOCUMENTED		Output of GSE87466 processing	scripts/01_bulk/02_process_GSE87466.py	scripts/01_bulk/03_four_cohort_meta_analysis.py	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	archived cohort sample CSVs	corrupted work path	B. UPSTREAM_DERIVED	Extracted archived workbook sheets	work/bulk/intermediate/archived_<cohort>_*.csv	scripts/01_bulk/01_extract_final_bulk_source.py		YES	DOCUMENTED		Extracted archived workbook sheets	scripts/01_bulk/01_extract_final_bulk_source.py	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	bulk model result tables	corrupted result path	B. UPSTREAM_DERIVED	Outputs of repaired bulk scripts	results_reproduced/bulk/results/	scripts/01_bulk/02_process_GSE87466.py; scripts/01_bulk/03_four_cohort_meta_analysis.py		YES	DOCUMENTED		Outputs of repaired bulk scripts	scripts/01_bulk/02_process_GSE87466.py; scripts/01_bulk/03_four_cohort_meta_analysis.py	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/02_singlecell_preprocessing/common.R; scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	CORRECTED_SCRNA_ANALYSIS_OBJECT.rds	private revision path	D. LOCAL_PRIVATE_SOURCE	Frozen corrected public-dataset-derived object	data_external/singlecell/frozen_objects/CORRECTED_SCRNA_ANALYSIS_OBJECT.rds			YES	DOCUMENTED	Contains no direct identifiers but is too large and was not committed.	Frozen corrected public-dataset-derived object	Frozen corrected public-dataset-derived object	scripts/02_singlecell_preprocessing/common.R; scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/02_singlecell_preprocessing/common.R	UC_GART_06c_Epithelial_Fig2AB_noGARTname_FINAL.rds	private single-cell path	D. LOCAL_PRIVATE_SOURCE	Frozen epithelial Seurat object derived from GSE214695/SCP259	data_external/singlecell/frozen_objects/UC_GART_06c_Epithelial_Fig2AB_noGARTname_FINAL.rds		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695; https://singlecell.broadinstitute.org/single_cell/study/SCP259	YES	DOCUMENTED		Frozen epithelial Seurat object derived from GSE214695/SCP259	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695; https://singlecell.broadinstitute.org/single_cell/study/SCP259	scripts/02_singlecell_preprocessing/common.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/02_singlecell_preprocessing/common.R	UC_GART_07_ISC_like_subclustered_FIXED_withDonor.rds	private single-cell path	D. LOCAL_PRIVATE_SOURCE	Frozen ISC-like Seurat object derived from GSE214695/SCP259	data_external/singlecell/frozen_objects/UC_GART_07_ISC_like_subclustered_FIXED_withDonor.rds		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695; https://singlecell.broadinstitute.org/single_cell/study/SCP259	YES	DOCUMENTED		Frozen ISC-like Seurat object derived from GSE214695/SCP259	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214695; https://singlecell.broadinstitute.org/single_cell/study/SCP259	scripts/02_singlecell_preprocessing/common.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	multiverse_singlecell_results.csv	private revision path	B. UPSTREAM_DERIVED	Locked multiverse output	data_external/derived_inputs/singlecell/multiverse_singlecell_results.csv			YES	DOCUMENTED	Archived comparator only; not refit or altered.	Locked multiverse output	Locked multiverse output	scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
