relative_path	size_bytes	file_type	public_role	include_in_commit	notes
.gitattributes	154	no_extension	internal QA/audit artifact	YES	Publication-facing file
.gitignore	1150	no_extension	Git exclusion policy	YES	Publication-facing file
CITATION.cff	370	cff	license/citation metadata	YES	Publication-facing file
CODE_LOGIC_DIFF_AUDIT.tsv	5914	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
CODE_PORTABILITY_POST_REPAIR_HASHES.tsv	26884	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
CODE_PORTABILITY_PRE_REPAIR_HASHES.tsv	18927	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
CODE_REPRODUCIBILITY_AUDIT.tsv	11089	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
CODE_REPRODUCIBILITY_AUDIT_REVISED.tsv	11036	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
CORRUPTED_SCRIPT_REPAIR_LOG.tsv	1227	tsv	internal QA/audit artifact	NO	INTERNAL_ONLY or runtime/external file; excluded by .gitignore
data_external/README.md	3646	md	external-input instructions	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/animal_accounting.csv	6104	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/animal_endpoint_multiplicity_BH.csv	9639	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/body_weight_long.csv	11968	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/DAI_long.csv	9201	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/mouse_endpoint_raw_values.csv	16456	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Animal_numerical_data/mouse_multiplex_IF_raw_values.csv	25533	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv	8971	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure1/four_cohort_effect_sizes.csv	494	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure1/four_cohort_leave_one_out.csv	837	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure1/four_cohort_meta_summary.csv	257	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure1/GSE87466_GART_result.csv	688	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2B_faceted_epithelial_marker_dotplot_source_data.csv	33254	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2C_GART_detection_source_data.csv	19171628	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2D_ISClike_subcluster_source_data.csv	971007	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2F_ISClike_subcluster_profiles_source_data.csv	1087	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2G_donor_balanced_final_source_data.csv	15535	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/Fig2G_equal_donor_percentage_source_data.csv	2313	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/GART_detection_and_hurdle_models.csv	2242	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/GART_donor_fraction.csv	1476	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/GART_model_diagnostics.csv	946	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure2/singlecell_donor_mapping_audit.csv	2581	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure3/Fig3A_source_data.csv	2454410	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure3/Fig3B_pseudobulk_DEG_source_data.csv	7425761	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure3/Fig3C_Hallmark_GSEA_source_data.csv	32696	csv	public numerical figure source data	YES	Publication-facing file
data_public/figure_source_data/Figure3/Fig3D_Reactome_GO_GSEA_source_data.xlsx	866718	xlsx	public numerical figure source data	YES	Publication-facing file
