Figure	Panel	Public_source_file	Public_columns	Biological_unit	n	Statistical_test	Adjusted_or_raw_P	Authoritative_source	Code_script	Reproducible_from_public_inputs	Notes
Figure 1	A	data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv	dataset; GSM_ID; condition; GART_expression	donor	cohort-specific	cohort-specific group comparison	raw	Frozen final revision source data	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Partially; public large matrices must be downloaded	
Figure 1	B	data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv	dataset; GSM_ID; condition; GART_expression	donor	cohort-specific	cohort-specific group comparison	raw	Frozen final revision source data	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Partially; public large matrices must be downloaded	
Figure 1	C	data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv	dataset; GSM_ID; condition; GART_expression	donor	cohort-specific	cohort-specific group comparison	raw	Frozen final revision source data	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Partially; public large matrices must be downloaded	
Figure 1	D	data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv	dataset; GSM_ID; condition; GART_expression	donor	cohort-specific	cohort-specific group comparison	raw	Frozen final revision source data	scripts/01_bulk/04_plot_final_four_cohort_Figure1.R	Partially; public large matrices must be downloaded	
Figure 1	E-H	data_public/figure_source_data/Figure1/four_cohort_effect_sizes.csv	dataset; n_Healthy; n_UC; Hedges_g; SE; CI_low; CI_high; cohort_weight_percent	cohort	4	REML random-effects with Hartung-Knapp	raw pooled P	Frozen final revision source data	scripts/01_bulk/03_four_cohort_meta_analysis.py	Partially; public large matrices must be downloaded	
Figure 2	A	data_public/figure_source_data/Figure2/Fig2C_GART_detection_source_data.csv	cell_id; epithelial_state; cohort; donor_id; UMAP_1; UMAP_2; raw_GART_count; GART_detection_status	cell (descriptive)	as supplied	descriptive	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2C_D.R	Partially; public large matrices must be downloaded	
Figure 2	B	data_public/figure_source_data/Figure2/Fig2B_faceted_epithelial_marker_dotplot_source_data.csv	marker_group; gene; epithelial_state; n_cells; average_expression; percent_expressed; avg_exp_scaled	cell (descriptive)	as supplied	descriptive	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2C_D.R	Partially; public large matrices must be downloaded	
Figure 2	C	data_public/figure_source_data/Figure2/Fig2C_GART_detection_source_data.csv	cell_id; epithelial_state; cohort; donor_id; UMAP_1; UMAP_2; raw_GART_count; GART_detection_status	cell (descriptive)	33 donors / 9,306 ISC-like cells	descriptive	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2C_D.R	Partially; public large matrices must be downloaded	
Figure 2	D	data_public/figure_source_data/Figure2/Fig2D_ISClike_subcluster_source_data.csv	cell_id; cohort; donor_id; UMAP_1; UMAP_2; final_ISClike_cluster; cluster_color	cell (descriptive)	33 donors / 9,306 ISC-like cells	descriptive	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2C_D.R	Partially; public large matrices must be downloaded	
Figure 2	E-F	data_public/figure_source_data/Figure2/Fig2F_ISClike_subcluster_profiles_source_data.csv	final_ISClike_cluster; n_cells; StemISC_score_mean; TA_score_mean; GART_mean; GART_detected_fraction; Purine_ex_GART_mean; UC_fraction	cell (descriptive)	as supplied	descriptive	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2E_F_G.R	Partially; public large matrices must be downloaded	
Figure 2	G	data_public/figure_source_data/Figure2/Fig2G_equal_donor_percentage_source_data.csv	donor_id; cohort; condition; total_ISClike_cells; GART_detected_cells; GART_undetected_cells; detected_fraction; undetected_fraction; donor_weight	donor	33 donors / 9,306 ISC-like cells	donor-aware model	raw	Frozen final revision source data	scripts/09_figure_generation/plot_Figure2E_F_G.R	Partially; public large matrices must be downloaded	
Figure 3	A	data_public/figure_source_data/Figure3/Fig3A_source_data.csv	cell_id; cohort; condition; donor_id; UMAP_1; UMAP_2; raw_corrected_GART_count; GART_detection_status; n_donors; analysis_type; effect; CI_low; CI_high; P; FDR; selection_display_rule	donor	UC-derived ISC-like cells (descriptive display)	descriptive UMAP; donor-aware tests are shown in downstream panels	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
Figure 3	B	data_public/figure_source_data/Figure3/Fig3B_pseudobulk_DEG_source_data.csv	gene; logFC; SE; CI_low; CI_high; raw_P; FDR; n_paired_donors; cell_threshold; model; plot_class; minus_log10_FDR; labelled_gene; displayed_in_volcano; analysis_type; effect; P; effect_definition; selection_display_rule	donor	11 paired SCP259 donors	donor-paired pseudobulk / donor-aware analysis	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
