cohort	sample_id	group	GART_expression	source_input_type	reproducibility_class
GSE24287	GSM597304	Healthy	-0.189245039966667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597305	Healthy	-0.370693044136	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597306	Healthy	-0.0924266623566667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597307	Healthy	0.0543333370333333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597308	Healthy	0.249022075503333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597309	Healthy	0.206615996973333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597310	Healthy	-0.11490875164	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597311	Healthy	0.0858927515733333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597312	Healthy	-0.362387929353333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597313	Healthy	-0.00021173204	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597314	Healthy	0.146112886886667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597315	Healthy	0.0845984679113333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597316	Healthy	0.14041907826	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597317	Healthy	-0.00671909577	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597318	Healthy	-0.425184512457333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597319	Healthy	-0.28118640408	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597320	Healthy	-0.345915504652	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597321	Healthy	-0.0783283346866667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597322	Healthy	-0.0653224320666667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597323	Healthy	-0.177637017	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597324	Healthy	-0.330633475513333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597325	Healthy	-0.277031799933333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597326	Healthy	-0.399783615686667	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597327	Healthy	0.327782238733333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597328	Healthy	0.11383380636	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597230	UC	-0.118859980685185	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597231	UC	0.175444012503086	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597232	UC	0.268101763444444	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597233	UC	-0.292334113444444	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597234	UC	-0.0757682849197531	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597235	UC	-0.16581373257284	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597236	UC	-0.319826420203086	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597237	UC	-0.0196696825833333	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597238	UC	-0.202202664450617	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597239	UC	0.427600203046296	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597240	UC	0.712345285382716	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597241	UC	0.471082498425926	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597242	UC	0.455709986671605	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
GSE24287	GSM597243	UC	0.458994227858025	Archived unrounded GART expression vector derived from the archived gene-level matrix	INSPECTION_ONLY_FROZEN_INTERMEDIATE
