mouse_id,group,day,DAI,source_replicate_position,mouse_id_status
Control_trajectory_01,Control,1,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,2,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,3,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,4,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,5,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,6,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,7,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,8,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,9,0.0,1,analysis ID; original animal ID absent
Control_trajectory_01,Control,10,0.0,1,analysis ID; original animal ID absent
Control_trajectory_02,Control,1,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,2,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,3,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,4,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,5,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,6,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,7,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,8,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,9,0.0,2,analysis ID; original animal ID absent
Control_trajectory_02,Control,10,0.0,2,analysis ID; original animal ID absent
Control_trajectory_03,Control,1,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,2,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,3,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,4,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,5,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,6,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,7,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,8,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,9,0.0,3,analysis ID; original animal ID absent
Control_trajectory_03,Control,10,0.0,3,analysis ID; original animal ID absent
Control_trajectory_04,Control,1,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,2,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,3,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,4,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,5,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,6,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,7,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,8,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,9,0.0,4,analysis ID; original animal ID absent
Control_trajectory_04,Control,10,0.0,4,analysis ID; original animal ID absent
Control_trajectory_05,Control,1,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,2,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,3,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,4,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,5,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,6,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,7,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,8,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,9,0.0,5,analysis ID; original animal ID absent
Control_trajectory_05,Control,10,0.0,5,analysis ID; original animal ID absent
Control_trajectory_06,Control,1,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,2,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,3,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,4,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,5,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,6,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,7,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,8,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,9,0.0,6,analysis ID; original animal ID absent
Control_trajectory_06,Control,10,0.0,6,analysis ID; original animal ID absent
Model_trajectory_01,Model,1,2.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,2,0.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,3,2.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,4,4.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,5,4.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,6,8.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,7,8.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,8,8.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,9,8.0,1,analysis ID; original animal ID absent
Model_trajectory_01,Model,10,6.0,1,analysis ID; original animal ID absent
Model_trajectory_02,Model,1,0.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,2,0.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,3,0.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,4,4.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,5,4.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,6,6.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,7,8.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,8,8.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,9,8.0,2,analysis ID; original animal ID absent
Model_trajectory_02,Model,10,4.0,2,analysis ID; original animal ID absent
Model_trajectory_03,Model,1,0.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,2,0.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,3,2.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,4,2.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,5,6.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,6,6.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,7,6.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,8,8.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,9,6.0,3,analysis ID; original animal ID absent
Model_trajectory_03,Model,10,6.0,3,analysis ID; original animal ID absent
Model_trajectory_04,Model,1,0.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,2,0.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,3,2.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,4,4.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,5,4.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,6,8.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,7,8.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,8,6.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,9,6.0,4,analysis ID; original animal ID absent
Model_trajectory_04,Model,10,6.0,4,analysis ID; original animal ID absent
Model_trajectory_05,Model,1,0.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,2,3.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,3,2.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,4,2.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,5,2.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,6,4.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,7,8.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,8,8.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,9,2.0,5,analysis ID; original animal ID absent
Model_trajectory_05,Model,10,4.0,5,analysis ID; original animal ID absent
Model_trajectory_06,Model,1,0.0,6,analysis ID; original animal ID absent
Model_trajectory_06,Model,2,0.0,6,analysis ID; original animal ID absent
Model_trajectory_06,Model,3,2.0,6,analysis ID; original animal ID absent
Model_trajectory_06,Model,4,4.0,6,analysis ID; original animal ID absent
