Figure,Panel,Endpoint,Family,n_HC,n_DSS,Biological_unit,Original_test,Raw_P,BH_adjusted_P,Raw_significant,BH_significant,Significance_changed,Control_mouse_values,DSS_mouse_values,Verification_status
Figure 8,F,Hemoglobin (HGB),CBC,6,6,mouse,Unpaired two-sided Student t-test (equal variances),9.6093212181e-05,0.000160155353636,Yes,Yes,No,141.0; 148.0; 153.0; 155.0; 160.0; 167.0,102.0; 112.0; 117.0; 119.0; 124.0; 134.0,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,G,Hematocrit (HCT),CBC,6,6,mouse,Unpaired two-sided Student t-test (equal variances),0.012852978249627,0.012852978249627,Yes,Yes,No,36.8; 39.7; 40.6; 48.6; 49.5; 52.4,31.7; 33.1; 34.3; 37.3; 38.5; 39.9,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,J,White blood cell count (WBC),CBC,6,6,mouse,Unpaired two-sided Student t-test (equal variances),0.009412760031409,0.011765950039261,Yes,Yes,No,4.6; 6.4; 4.1; 5.9; 6.7; 7.5,6.5; 7.7; 11.9; 8.2; 12.3; 13.5,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,I,Granulocyte percentage (Gran%),CBC,6,6,mouse,Unpaired two-sided Student t-test (equal variances),3.646208441e-05,9.1155211026e-05,Yes,Yes,No,19.3; 21.8; 22.9; 27.6; 28.8; 31.3,37.8; 39.9; 40.3; 45.4; 45.7; 47.8,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,H,Platelet count (PLT),CBC,6,6,mouse,Unpaired two-sided Student t-test (equal variances),1.0291536e-08,5.145768e-08,Yes,Yes,No,852.0; 902.0; 931.0; 1013.0; 1042.0; 1092.0,1771.0; 1841.0; 1899.0; 1923.0; 1981.0; 2051.0,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,K,IL-6,Serum cytokines,6,6,mouse,Unpaired two-sided Student t-test (equal variances),4.608699e-09,2.3043494e-08,Yes,Yes,No,4.077964; 14.244014; 10.296291; 6.502409; 19.656574; 9.060648,178.899047; 224.345092; 193.031259; 199.892148; 154.487548; 196.052867,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,N,IL-17A,Serum cytokines,6,6,mouse,Unpaired two-sided Student t-test (equal variances),1.77027939e-07,3.17450577e-07,Yes,Yes,No,6.633995; 13.871384; 15.373287; 12.204772; 16.524256; 16.773346,292.78914; 280.376437; 292.857382; 424.421565; 265.88421; 335.367501,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,L,IL-1beta,Serum cytokines,6,6,mouse,Unpaired two-sided Student t-test (equal variances),1.2128666534e-05,1.2128666534e-05,Yes,Yes,No,3.230653; 11.237644; 19.997353; 14.714327; 5.676955; 10.779203,36.524057; 38.838376; 49.27611; 31.72747; 49.56995; 42.271457,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,M,TNF-alpha,Serum cytokines,6,6,mouse,Unpaired two-sided Student t-test (equal variances),7.488669352e-06,9.36083669e-06,Yes,Yes,No,30.522592; 40.078941; 39.916601; 34.934331; 48.15323; 51.463339,120.916333; 115.280835; 129.08788; 100.771718; 138.425816; 83.231784,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,O,IL-10,Serum cytokines,6,6,mouse,Unpaired two-sided Student t-test (equal variances),1.90470346e-07,3.17450577e-07,Yes,Yes,No,204.528657; 182.768842; 240.8106812; 213.2231835; 223.5626204; 237.4268654,43.56242286; 96.57553588; 36.88878629; 45.06634096; 48.591149; 69.59900496,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,P,ZO-1 integrated optical density,Barrier IHC,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.006897686348171,0.012178597926841,Yes,Yes,No,50.37; 59.4; 46.28,32.26; 22.51; 27.72,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,P,Occludin integrated optical density,Barrier IHC,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.008119065284561,0.012178597926841,Yes,Yes,No,42.91; 49.72; 38.04,22.67; 17.18; 26.72,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 8,P,Claudin-1 integrated optical density,Barrier IHC,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.016159827804718,0.016159827804718,Yes,Yes,No,32.84; 29.71; 37.06,25.17; 22.93; 19.74,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,A,GART MFI,IF GART/MYBL2/Ki67,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.010781782728563,0.014750102589903,Yes,Yes,No,0.24; 0.96; 0.46,12.32; 9.38; 5.76,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,A,MYBL2 nuclear MFI,IF GART/MYBL2/Ki67,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.001373122878551,0.006865614392757,Yes,Yes,No,2.42; 1.88; 5.74,35.96; 51.84; 39.71,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,A,Ki67+ cells (%),IF GART/MYBL2/Ki67,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.011800082071922,0.014750102589903,Yes,Yes,No,2.91; 6.17; 4.99,23.34; 19.6; 12.97,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,A,GART+Ki67+ cells (%),IF GART/MYBL2/Ki67,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.003336731750761,0.008341829376902,Yes,Yes,No,0.92; 0.74; 0.38,15.61; 11.39; 19.6,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,A,GART+MYBL2+Ki67+ cells (%),IF GART/MYBL2/Ki67,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.029655471501668,0.029655471501668,Yes,Yes,No,0.47; 0.84; 0.37,6.2; 8.34; 15.68,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.003620474231668,0.004344569078002,Yes,Yes,No,4.34; 2.96; 2.51,8.85; 10.37; 7.76,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.024400563646054,0.024400563646054,Yes,Yes,No,4.32; 3.78; 6.81,7.75; 9.27; 10.03,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.000920471181374,0.001840942362747,Yes,Yes,No,0.14; 0.09; 0.23,13.83; 12.76; 9.37,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,% GART+ among EPCAM+ epithelial cells,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.000466175685794,0.001398527057382,Yes,Yes,No,5.02; 8.7; 3.43,70.94; 53.66; 68.14,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.000101576092255,0.000609456553531,Yes,Yes,No,5.02; 8.13; 3.59,98.29; 84.76; 81.4,Verified against archived GraphPad analysis; public mouse-level values supplied
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,IF GART/EPCAM/OLFM4,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.002494707869977,0.003742061804966,Yes,Yes,No,1.26; 3.43; 6.79,70.94; 66.83; 44.37,Verified against archived GraphPad analysis; public mouse-level values supplied
Supplementary Figure S5,A,GART MFI in crypt/cellular ROI,IF GART/MIF/CD74,3,3,mouse,Unpaired two-sided Student t-test (equal variances),0.008988344533361,0.012810480205539,Yes,Yes,No,0.44; 0.7; 0.62,13.39; 18.14; 8.77,Verified against archived GraphPad analysis; public mouse-level values supplied
