mouse_id,group,day,weight,source_replicate_position,mouse_id_status,baseline_weight,weight_percent
Control_trajectory_01,Control,1,23.3,1,analysis ID; original animal ID absent,23.3,100.0
Control_trajectory_01,Control,2,24.2,1,analysis ID; original animal ID absent,23.3,103.862660944206
Control_trajectory_01,Control,3,25.3,1,analysis ID; original animal ID absent,23.3,108.58369098712446
Control_trajectory_01,Control,4,24.8,1,analysis ID; original animal ID absent,23.3,106.43776824034335
Control_trajectory_01,Control,5,25.1,1,analysis ID; original animal ID absent,23.3,107.72532188841201
Control_trajectory_01,Control,6,25.3,1,analysis ID; original animal ID absent,23.3,108.58369098712446
Control_trajectory_01,Control,7,25.5,1,analysis ID; original animal ID absent,23.3,109.4420600858369
Control_trajectory_01,Control,8,25.9,1,analysis ID; original animal ID absent,23.3,111.1587982832618
Control_trajectory_01,Control,9,25.8,1,analysis ID; original animal ID absent,23.3,110.72961373390558
Control_trajectory_01,Control,10,26.1,1,analysis ID; original animal ID absent,23.3,112.01716738197425
Control_trajectory_02,Control,1,22.1,2,analysis ID; original animal ID absent,22.1,100.0
Control_trajectory_02,Control,2,23.0,2,analysis ID; original animal ID absent,22.1,104.07239819004525
Control_trajectory_02,Control,3,22.7,2,analysis ID; original animal ID absent,22.1,102.71493212669682
Control_trajectory_02,Control,4,23.2,2,analysis ID; original animal ID absent,22.1,104.97737556561086
Control_trajectory_02,Control,5,23.4,2,analysis ID; original animal ID absent,22.1,105.88235294117646
Control_trajectory_02,Control,6,23.7,2,analysis ID; original animal ID absent,22.1,107.23981900452488
Control_trajectory_02,Control,7,23.7,2,analysis ID; original animal ID absent,22.1,107.23981900452488
Control_trajectory_02,Control,8,23.9,2,analysis ID; original animal ID absent,22.1,108.1447963800905
Control_trajectory_02,Control,9,24.0,2,analysis ID; original animal ID absent,22.1,108.5972850678733
Control_trajectory_02,Control,10,24.1,2,analysis ID; original animal ID absent,22.1,109.0497737556561
Control_trajectory_03,Control,1,22.7,3,analysis ID; original animal ID absent,22.7,100.0
Control_trajectory_03,Control,2,23.2,3,analysis ID; original animal ID absent,22.7,102.20264317180617
Control_trajectory_03,Control,3,23.2,3,analysis ID; original animal ID absent,22.7,102.20264317180617
Control_trajectory_03,Control,4,23.6,3,analysis ID; original animal ID absent,22.7,103.9647577092511
Control_trajectory_03,Control,5,23.8,3,analysis ID; original animal ID absent,22.7,104.84581497797357
Control_trajectory_03,Control,6,24.4,3,analysis ID; original animal ID absent,22.7,107.48898678414098
Control_trajectory_03,Control,7,24.6,3,analysis ID; original animal ID absent,22.7,108.37004405286343
Control_trajectory_03,Control,8,24.8,3,analysis ID; original animal ID absent,22.7,109.2511013215859
Control_trajectory_03,Control,9,25.0,3,analysis ID; original animal ID absent,22.7,110.13215859030838
Control_trajectory_03,Control,10,25.2,3,analysis ID; original animal ID absent,22.7,111.01321585903084
Control_trajectory_04,Control,1,22.4,4,analysis ID; original animal ID absent,22.4,100.0
Control_trajectory_04,Control,2,22.9,4,analysis ID; original animal ID absent,22.4,102.23214285714286
Control_trajectory_04,Control,3,23.2,4,analysis ID; original animal ID absent,22.4,103.57142857142858
Control_trajectory_04,Control,4,23.1,4,analysis ID; original animal ID absent,22.4,103.125
Control_trajectory_04,Control,5,23.8,4,analysis ID; original animal ID absent,22.4,106.25
Control_trajectory_04,Control,6,24.2,4,analysis ID; original animal ID absent,22.4,108.03571428571429
Control_trajectory_04,Control,7,24.1,4,analysis ID; original animal ID absent,22.4,107.58928571428572
Control_trajectory_04,Control,8,24.4,4,analysis ID; original animal ID absent,22.4,108.92857142857143
Control_trajectory_04,Control,9,24.5,4,analysis ID; original animal ID absent,22.4,109.375
Control_trajectory_04,Control,10,24.8,4,analysis ID; original animal ID absent,22.4,110.71428571428572
Control_trajectory_05,Control,1,21.7,5,analysis ID; original animal ID absent,21.7,100.0
Control_trajectory_05,Control,2,22.3,5,analysis ID; original animal ID absent,21.7,102.76497695852535
Control_trajectory_05,Control,3,24.4,5,analysis ID; original animal ID absent,21.7,112.44239631336406
Control_trajectory_05,Control,4,22.5,5,analysis ID; original animal ID absent,21.7,103.68663594470047
Control_trajectory_05,Control,5,23.4,5,analysis ID; original animal ID absent,21.7,107.83410138248848
Control_trajectory_05,Control,6,23.6,5,analysis ID; original animal ID absent,21.7,108.7557603686636
Control_trajectory_05,Control,7,23.8,5,analysis ID; original animal ID absent,21.7,109.67741935483872
Control_trajectory_05,Control,8,24.4,5,analysis ID; original animal ID absent,21.7,112.44239631336406
Control_trajectory_05,Control,9,24.5,5,analysis ID; original animal ID absent,21.7,112.90322580645162
Control_trajectory_05,Control,10,24.5,5,analysis ID; original animal ID absent,21.7,112.90322580645162
Control_trajectory_06,Control,1,23.2,6,analysis ID; original animal ID absent,23.2,100.0
Control_trajectory_06,Control,2,23.6,6,analysis ID; original animal ID absent,23.2,101.72413793103449
Control_trajectory_06,Control,3,24.3,6,analysis ID; original animal ID absent,23.2,104.74137931034483
Control_trajectory_06,Control,4,24.2,6,analysis ID; original animal ID absent,23.2,104.3103448275862
Control_trajectory_06,Control,5,24.5,6,analysis ID; original animal ID absent,23.2,105.60344827586208
Control_trajectory_06,Control,6,24.9,6,analysis ID; original animal ID absent,23.2,107.32758620689656
Control_trajectory_06,Control,7,25.1,6,analysis ID; original animal ID absent,23.2,108.1896551724138
Control_trajectory_06,Control,8,24.9,6,analysis ID; original animal ID absent,23.2,107.32758620689656
Control_trajectory_06,Control,9,25.1,6,analysis ID; original animal ID absent,23.2,108.1896551724138
Control_trajectory_06,Control,10,25.2,6,analysis ID; original animal ID absent,23.2,108.62068965517241
Model_trajectory_01,Model,1,21.6,1,analysis ID; original animal ID absent,21.6,100.0
Model_trajectory_01,Model,2,21.9,1,analysis ID; original animal ID absent,21.6,101.38888888888889
Model_trajectory_01,Model,3,22.1,1,analysis ID; original animal ID absent,21.6,102.31481481481481
Model_trajectory_01,Model,4,21.4,1,analysis ID; original animal ID absent,21.6,99.07407407407406
Model_trajectory_01,Model,5,21.0,1,analysis ID; original animal ID absent,21.6,97.22222222222221
Model_trajectory_01,Model,6,20.9,1,analysis ID; original animal ID absent,21.6,96.75925925925925
Model_trajectory_01,Model,7,20.1,1,analysis ID; original animal ID absent,21.6,93.05555555555556
Model_trajectory_01,Model,8,19.3,1,analysis ID; original animal ID absent,21.6,89.35185185185185
Model_trajectory_01,Model,9,19.5,1,analysis ID; original animal ID absent,21.6,90.27777777777777
Model_trajectory_01,Model,10,18.7,1,analysis ID; original animal ID absent,21.6,86.57407407407406
Model_trajectory_02,Model,1,22.1,2,analysis ID; original animal ID absent,22.1,100.0
