endpoint,family,panel,group,mouse_id,value,source_replicate_position,mouse_id_status
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_01,0.44,1,source-position ID; actual mouse and selection mapping absent
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_02,0.7,2,source-position ID; actual mouse and selection mapping absent
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_03,0.62,3,source-position ID; actual mouse and selection mapping absent
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_01,13.39,1,source-position ID; actual mouse and selection mapping absent
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_02,18.14,2,source-position ID; actual mouse and selection mapping absent
GART MFI in crypt/cellular ROI,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_03,8.77,3,source-position ID; actual mouse and selection mapping absent
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_01,655.58,1,source-position ID; actual mouse and selection mapping absent
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_02,315.37,2,source-position ID; actual mouse and selection mapping absent
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Control,IF_GART_MIF_CD74__Control_rep_03,539.31,3,source-position ID; actual mouse and selection mapping absent
CD74+ objects per mm²,multiplex_IF::GART(黄）+MIF(紫）+CD74（绿）,GART(黄）+MIF(紫）+CD74（绿）,Model,IF_GART_MIF_CD74__Model_rep_01,2886.38,1,source-position ID; actual mouse and selection mapping absent
