"dataset","GSM_ID","condition","GART_expression"
"GSE24287","GSM597230","UC",-0.118859980685185
"GSE24287","GSM597231","UC",0.175444012503086
"GSE24287","GSM597232","UC",0.268101763444444
"GSE24287","GSM597233","UC",-0.292334113444444
"GSE24287","GSM597234","UC",-0.0757682849197531
"GSE24287","GSM597235","UC",-0.16581373257284
"GSE24287","GSM597236","UC",-0.319826420203086
"GSE24287","GSM597237","UC",-0.0196696825833333
"GSE24287","GSM597238","UC",-0.202202664450617
"GSE24287","GSM597239","UC",0.427600203046296
"GSE24287","GSM597240","UC",0.712345285382716
"GSE24287","GSM597241","UC",0.471082498425926
"GSE24287","GSM597242","UC",0.455709986671605
"GSE24287","GSM597243","UC",0.458994227858025
"GSE24287","GSM597244","UC",0.383855976227513
"GSE24287","GSM597245","UC",0.759936093654321
"GSE24287","GSM597246","UC",0.491804119337037
"GSE24287","GSM597247","UC",-0.189654573
"GSE24287","GSM597248","UC",0.28624478241358
"GSE24287","GSM597249","UC",0.104983525981481
"GSE24287","GSM597250","UC",-0.748604094487654
"GSE24287","GSM597251","UC",0.0461986784259259
"GSE24287","GSM597252","UC",0.0472354249104938
"GSE24287","GSM597253","UC",0.422115349067901
"GSE24287","GSM597254","UC",0.147892496135802
"GSE24287","GSM597255","UC",-0.154684357771605
"GSE24287","GSM597256","UC",-0.252732248722222
"GSE24287","GSM597304","Healthy",-0.189245039966667
"GSE24287","GSM597305","Healthy",-0.370693044136
"GSE24287","GSM597306","Healthy",-0.0924266623566667
"GSE24287","GSM597307","Healthy",0.0543333370333333
"GSE24287","GSM597308","Healthy",0.249022075503333
"GSE24287","GSM597309","Healthy",0.206615996973333
"GSE24287","GSM597310","Healthy",-0.11490875164
"GSE24287","GSM597311","Healthy",0.0858927515733333
"GSE24287","GSM597312","Healthy",-0.362387929353333
"GSE24287","GSM597313","Healthy",-0.00021173204
"GSE24287","GSM597314","Healthy",0.146112886886667
"GSE24287","GSM597315","Healthy",0.0845984679113333
"GSE24287","GSM597316","Healthy",0.14041907826
"GSE24287","GSM597317","Healthy",-0.00671909577
"GSE24287","GSM597318","Healthy",-0.425184512457333
"GSE24287","GSM597319","Healthy",-0.28118640408
"GSE24287","GSM597320","Healthy",-0.345915504652
"GSE24287","GSM597321","Healthy",-0.0783283346866667
"GSE24287","GSM597322","Healthy",-0.0653224320666667
"GSE24287","GSM597323","Healthy",-0.177637017
"GSE24287","GSM597324","Healthy",-0.330633475513333
"GSE24287","GSM597325","Healthy",-0.277031799933333
"GSE24287","GSM597326","Healthy",-0.399783615686667
"GSE24287","GSM597327","Healthy",0.327782238733333
"GSE24287","GSM597328","Healthy",0.11383380636
"GSE36807","GSM901319","Healthy",4.87766393556746
"GSE36807","GSM901320","Healthy",4.7815072215873
"GSE36807","GSM901321","Healthy",5.06455067070238
"GSE36807","GSM901322","Healthy",4.85460729393651
"GSE36807","GSM901323","Healthy",4.88329406426984
"GSE36807","GSM901324","Healthy",4.86040338053175
"GSE36807","GSM901325","Healthy",4.73099702082143
"GSE36807","GSM901339","UC",5.31478122889593
"GSE36807","GSM901340","UC",5.07347024420555
"GSE36807","GSM901341","UC",5.17789910010407
"GSE36807","GSM901342","UC",5.0321813988746
"GSE36807","GSM901343","UC",5.00753845214296
"GSE36807","GSM901344","UC",5.10907107861889
"GSE36807","GSM901345","UC",4.73342287098889
"GSE36807","GSM901346","UC",5.06539742737778
"GSE36807","GSM901347","UC",4.97314977835296
"GSE36807","GSM901348","UC",5.06812559190407
"GSE36807","GSM901349","UC",4.97642041868519
"GSE36807","GSM901350","UC",4.97642041868519
"GSE36807","GSM901351","UC",4.98671250563889
"GSE36807","GSM901352","UC",4.86621983266667
"GSE36807","GSM901353","UC",5.19713711871296
"GSE37283","GSM915451","UC",4.88567516604643
"GSE37283","GSM915452","UC",5.08958804420397
"GSE37283","GSM915453","UC",4.99159764600893
"GSE37283","GSM915454","UC",5.21616273416071
"GSE37283","GSM915455","Healthy",4.58939770439048
"GSE37283","GSM915456","Healthy",4.99242303784286
"GSE37283","GSM915457","Healthy",4.73418137178095
"GSE37283","GSM915458","Healthy",4.79913458407857
"GSE37283","GSM915459","Healthy",4.88240408703143
"GSE87466","GSM2332098","Healthy",6.55471666666667
"GSE87466","GSM2332099","Healthy",6.41151666666667
"GSE87466","GSM2332100","Healthy",6.53625
"GSE87466","GSM2332101","Healthy",6.36576666666667
"GSE87466","GSM2332102","Healthy",6.71668333333333
"GSE87466","GSM2332103","Healthy",6.11065
"GSE87466","GSM2332104","Healthy",6.42478333333333
"GSE87466","GSM2332105","Healthy",6.13071666666667
"GSE87466","GSM2332106","Healthy",6.02266666666667
"GSE87466","GSM2332107","Healthy",6.23346666666667
"GSE87466","GSM2332108","Healthy",6.20263333333333
"GSE87466","GSM2332109","Healthy",5.95968333333333
"GSE87466","GSM2332110","Healthy",6.36098333333333
"GSE87466","GSM2332111","Healthy",6.39218333333333
"GSE87466","GSM2332112","Healthy",6.5173
"GSE87466","GSM2332113","Healthy",6.16728333333333
"GSE87466","GSM2332114","Healthy",6.44421666666667
"GSE87466","GSM2332115","Healthy",5.98503333333333
"GSE87466","GSM2332116","Healthy",6.43128333333333
"GSE87466","GSM2332117","Healthy",6.58976666666667
"GSE87466","GSM2332118","Healthy",6.34756666666667
"GSE87466","GSM2332119","UC",6.78633333333333
"GSE87466","GSM2332120","UC",6.52918333333333
"GSE87466","GSM2332121","UC",6.42265
"GSE87466","GSM2332122","UC",6.10568333333333
"GSE87466","GSM2332123","UC",6.08713333333333
"GSE87466","GSM2332124","UC",6.52896666666667
"GSE87466","GSM2332125","UC",6.47886666666667
"GSE87466","GSM2332126","UC",6.46291666666667
"GSE87466","GSM2332127","UC",6.57865
"GSE87466","GSM2332128","UC",6.78673333333333
"GSE87466","GSM2332129","UC",6.67736666666667
"GSE87466","GSM2332130","UC",6.6068
"GSE87466","GSM2332131","UC",6.40131666666667
"GSE87466","GSM2332132","UC",6.2844
"GSE87466","GSM2332133","UC",6.70303333333333
"GSE87466","GSM2332134","UC",6.50783333333333
"GSE87466","GSM2332135","UC",6.41041666666667
"GSE87466","GSM2332136","UC",6.7452
"GSE87466","GSM2332137","UC",6.51108333333333
"GSE87466","GSM2332138","UC",6.2672
"GSE87466","GSM2332139","UC",6.62983333333333
"GSE87466","GSM2332140","UC",6.65953333333333
"GSE87466","GSM2332141","UC",6.62331666666667
"GSE87466","GSM2332142","UC",6.46146666666667
"GSE87466","GSM2332143","UC",6.0887
"GSE87466","GSM2332144","UC",6.86706666666667
"GSE87466","GSM2332145","UC",6.59665
"GSE87466","GSM2332146","UC",6.55883333333333
"GSE87466","GSM2332147","UC",6.346
"GSE87466","GSM2332148","UC",6.40445
"GSE87466","GSM2332149","UC",6.32715
"GSE87466","GSM2332150","UC",6.70943333333333
"GSE87466","GSM2332151","UC",6.24896666666667
"GSE87466","GSM2332152","UC",6.46988333333333
"GSE87466","GSM2332153","UC",6.46148333333333
"GSE87466","GSM2332154","UC",6.41358333333333
"GSE87466","GSM2332155","UC",6.19891666666667
"GSE87466","GSM2332156","UC",6.30883333333333
"GSE87466","GSM2332157","UC",6.6996
"GSE87466","GSM2332158","UC",6.50211666666667
"GSE87466","GSM2332159","UC",6.58601666666667
"GSE87466","GSM2332160","UC",6.14451666666667
"GSE87466","GSM2332161","UC",6.649
"GSE87466","GSM2332162","UC",6.7949
"GSE87466","GSM2332163","UC",6.1908
"GSE87466","GSM2332164","UC",6.41301666666667
"GSE87466","GSM2332165","UC",6.42161666666667
"GSE87466","GSM2332166","UC",6.52168333333333
"GSE87466","GSM2332167","UC",6.52955
"GSE87466","GSM2332168","UC",6.72225
"GSE87466","GSM2332169","UC",6.87705
"GSE87466","GSM2332170","UC",6.32671666666667
"GSE87466","GSM2332171","UC",6.12226666666667
"GSE87466","GSM2332172","UC",6.81495
"GSE87466","GSM2332173","UC",6.4539
"GSE87466","GSM2332174","UC",6.50066666666667
"GSE87466","GSM2332175","UC",6.9688
"GSE87466","GSM2332176","UC",6.65066666666667
"GSE87466","GSM2332177","UC",6.53425
"GSE87466","GSM2332178","UC",6.5986
"GSE87466","GSM2332179","UC",6.30341666666667
"GSE87466","GSM2332180","UC",6.30011666666667
"GSE87466","GSM2332181","UC",6.24523333333333
"GSE87466","GSM2332182","UC",6.37048333333333
"GSE87466","GSM2332183","UC",6.35221666666667
"GSE87466","GSM2332184","UC",6.2068
"GSE87466","GSM2332185","UC",6.46428333333333
"GSE87466","GSM2332186","UC",6.21966666666667
"GSE87466","GSM2332187","UC",6.24841666666667
"GSE87466","GSM2332188","UC",5.94538333333333
"GSE87466","GSM2332189","UC",6.6589
"GSE87466","GSM2332190","UC",6.32181666666667
"GSE87466","GSM2332191","UC",6.24095
"GSE87466","GSM2332192","UC",6.31803333333333
"GSE87466","GSM2332193","UC",6.77865
"GSE87466","GSM2332194","UC",6.52261666666667
"GSE87466","GSM2332195","UC",6.55716666666667
"GSE87466","GSM2332196","UC",5.73791666666667
"GSE87466","GSM2332197","UC",6.30253333333333
"GSE87466","GSM2332198","UC",6.75183333333333
"GSE87466","GSM2332199","UC",6.28786666666667
"GSE87466","GSM2332200","UC",6.67413333333333
"GSE87466","GSM2332201","UC",6.59145
"GSE87466","GSM2332202","UC",6.52028333333333
"GSE87466","GSM2332203","UC",6.39945
"GSE87466","GSM2332204","UC",6.01148333333333
"GSE87466","GSM2332205","UC",6.73753333333333
