"gene","logFC","SE","CI_low","CI_high","raw_P","FDR","n_paired_donors","cell_threshold","model","plot_class","minus_log10_FDR","labelled_gene","displayed_in_volcano","analysis_type","effect","P","effect_definition","selection_display_rule"
"FAM41C",0.216116848679614,0.217612602003361,-0.210403851246974,0.642637548606202,0.320648295788694,0.50184740236306,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.299428319481322,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.216116848679614,0.320648295788694,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"NOC2L",0.158144377319858,0.060871097842182,0.0388370255491811,0.277451729090535,0.0093762818605382,0.042907179084116,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, positive",1.36747003705142,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.158144377319858,0.0093762818605382,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"HES4",0.164972998985497,0.0814239992464774,0.00538196046240183,0.324564037508593,0.0427547468448671,0.125429548365821,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.901600141491263,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.164972998985497,0.0427547468448671,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ISG15",-0.598997339526133,0.246232896779368,-1.0816138172137,-0.116380861838571,0.0149889694210252,0.0593691893334133,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",1.22643888118054,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.598997339526133,0.0149889694210252,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"AGRN",0.00974036460222333,0.0762536201065634,-0.139716730806641,0.159197460011088,0.898357565540196,0.944373713541886,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0248561099272667,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.00974036460222333,0.898357565540196,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"C1orf159",0.278001486992282,0.100136941342442,0.0817330819610949,0.474269892023469,0.00549961512115179,0.0298023984313525,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, positive",1.52574878345439,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.278001486992282,0.00549961512115179,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"SDF4",-0.0247476704468472,0.049936487530746,-0.122623186007109,0.0731278451134149,0.620188703776527,0.76111605609788,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.118549116317496,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0247476704468472,0.620188703776527,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"B3GALT6",0.0495154382550071,0.125737453045594,-0.196929969714357,0.295960846224371,0.693728532677852,0.81420373629557,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0892669090202085,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0495154382550071,0.693728532677852,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"UBE2J2",0.020508783155463,0.0588364228651286,-0.0948106056601889,0.135828171971115,0.72740996799791,0.837435343085172,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0770487141123805,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.020508783155463,0.72740996799791,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ACAP3",-0.0153916531703029,0.0988898241214757,-0.209215708448395,0.17843240210779,0.876313278796995,0.930489036760631,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0312887394621888,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0153916531703029,0.876313278796995,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
