"analysis","random_structure","term","estimate","SE","CI_low","CI_high","P","OR","OR_CI_low","OR_CI_high","n_cells","n_donors","isSingular","convergence_warning","donor_variance","sample_variance","residual_variance","module","phase","FDR","module_label","phase_label","cell_label","n_donors_panel","analysis_type","effect","selection_display_rule"
"Reactome_purine_GART_excluded::G1","donor-only","GART_statuspositive",0.205607462176966,0.0341193889149387,0.138733459903687,0.272481464450246,1.67944633903521e-09,NA,NA,NA,4806,30,FALSE,NA,0.115556703073744,NA,0.838582912400682,"Reactome_purine_GART_excluded","G1",5.87806218662322e-09,"Purine biosynthesis
(GART excluded)","G1","0.206
FDR 5.9e-09",30,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.205607462176966,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_DNA_replication::G1","donor-only","GART_statuspositive",0.146550258852609,0.0295146879477025,0.0887014704751125,0.204399047230106,6.85832302362448e-07,NA,NA,NA,4806,30,FALSE,NA,0.18227548341528,NA,0.62727729989441,"Reactome_DNA_replication","G1",1.20020652913428e-06,"DNA replication","G1","0.147
FDR 1.2e-06",30,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.146550258852609,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_DNA_repair::G1","donor-only","GART_statuspositive",0.186708457437043,0.0302675677182374,0.127384024709297,0.246032890164788,6.88981469754548e-10,NA,NA,NA,4806,30,FALSE,NA,0.147227901039677,NA,0.6597661973877,"Reactome_DNA_repair","G1",4.82287028828184e-09,"DNA repair","G1","0.187
FDR 4.8e-09",30,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.186708457437043,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_mitotic_cell_cycle::G1","donor-only","GART_statuspositive",0.1480336996236,0.0296844465169708,0.0898521844503377,0.206215214796863,6.13522378187252e-07,NA,NA,NA,4806,30,FALSE,NA,0.0931902992638735,NA,0.634725718721302,"Reactome_mitotic_cell_cycle","G1",1.20020652913428e-06,"Mitotic cell cycle","G1","0.148
FDR 1.2e-06",30,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.1480336996236,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_purine_GART_excluded::S","donor-only","GART_statuspositive",0.19610070970257,0.0387220733623326,0.120205445912398,0.271995973492741,4.09875180116391e-07,NA,NA,NA,2777,25,FALSE,NA,0.0672149822353189,NA,0.888813342682637,"Reactome_purine_GART_excluded","S",9.5637542027158e-07,"Purine biosynthesis
(GART excluded)","S","0.196
FDR 9.6e-07",25,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.19610070970257,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_DNA_replication::S","donor-only","GART_statuspositive",0.217258618969101,0.035262175290166,0.148144755400376,0.286372482537826,7.21788713117578e-10,NA,NA,NA,2777,25,FALSE,NA,0.211772399455345,NA,0.736200306485686,"Reactome_DNA_replication","S",2.52626049591152e-09,"DNA replication","S","0.217
FDR 2.5e-09",25,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.217258618969101,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_DNA_repair::S","donor-only","GART_statuspositive",0.250406683939432,0.0355003336202484,0.180826030043745,0.319987337835119,1.74293061274558e-12,NA,NA,NA,2777,25,FALSE,NA,0.169029973377353,NA,0.746314437588469,"Reactome_DNA_repair","S",1.22005142892191e-11,"DNA repair","S","0.250
FDR <1×10^-10",25,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.250406683939432,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_mitotic_cell_cycle::S","donor-only","GART_statuspositive",0.177243333449916,0.0361052202612929,0.106477101737782,0.24800956516205,9.15056968827536e-07,NA,NA,NA,2777,25,FALSE,NA,0.111742908617287,NA,0.77225405803318,"Reactome_mitotic_cell_cycle","S",1.60134969544819e-06,"Mitotic cell cycle","S","0.177
FDR 1.6e-06",25,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.177243333449916,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_purine_GART_excluded::G2M","donor-only","GART_statuspositive",0.200257218719964,0.0517840556621053,0.0987604696222379,0.301753967817691,0.000110110275593828,NA,NA,NA,1723,21,FALSE,NA,0.0607241947204628,NA,0.930473230562451,"Reactome_purine_GART_excluded","G2M",0.000385385964578399,"Purine biosynthesis
(GART excluded)","G2/M","0.200
FDR 3.9e-04",21,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.200257218719964,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
"Reactome_DNA_replication::G2M","donor-only","GART_statuspositive",0.202716211753306,0.0463778813613743,0.111815564285012,0.2936168592216,1.2369721044786e-05,NA,NA,NA,1723,21,FALSE,NA,0.265589673026392,NA,0.743520457346034,"Reactome_DNA_replication","G2M",8.65880473135017e-05,"DNA replication","G2/M","0.203
FDR 8.7e-05",21,"Frozen donor-aware depth-adjusted model within each cell-cycle phase",0.202716211753306,"All four pre-specified modules and all G1, S and G2/M strata displayed irrespective of P or FDR"
