"gene","effect_log2FC","SE","CI_low","CI_high","P","FDR","n_paired_donors","cell_threshold","model","neg_log10_FDR","FDR_status","display_order","analysis_type","effect_definition","selection_display_rule"
"FEN1",0.804391562760038,0.130665939277124,0.548286321776875,1.0604968037432,7.45618503639159e-10,2.09500159060013e-06,11,20,"edgeR QL; design ~ donor_id + GART_status",5.67881564296566,"FDR <0.05",1,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"GINS2",0.736198355865582,0.110778823712931,0.519071861388237,0.953324850342928,3.01862118168926e-11,1.69631417305028e-07,11,20,"edgeR QL; design ~ donor_id + GART_status",6.77049370928095,"FDR <0.05",2,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"MCM6",0.695327877433889,0.13527902518183,0.430180988077501,0.960474766790277,2.74806700301938e-07,4.60977985775147e-05,11,20,"edgeR QL; design ~ donor_id + GART_status",4.33631981405647,"FDR <0.05",3,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"MCM7",0.646849347409136,0.111156640413057,0.428982332199543,0.864716362618729,5.91088683396412e-09,5.50892830074415e-06,11,20,"edgeR QL; design ~ donor_id + GART_status",5.25893287997625,"FDR <0.05",4,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"TK1",0.643946204239471,0.107507962071806,0.433230598578731,0.854661809900212,2.10159174250284e-09,3.93663159899824e-06,11,20,"edgeR QL; design ~ donor_id + GART_status",5.40487522580117,"FDR <0.05",5,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"PCNA",0.609294621200973,0.104603487481759,0.404271785736726,0.81431745666522,5.71802912327702e-09,5.50892830074415e-06,11,20,"edgeR QL; design ~ donor_id + GART_status",5.25893287997625,"FDR <0.05",6,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"TYMS",0.553453567296782,0.104494610181757,0.348644131340539,0.758263003253024,1.18056544296246e-07,2.75212159793654e-05,11,20,"edgeR QL; design ~ donor_id + GART_status",4.56033238142992,"FDR <0.05",7,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"PAICS",0.413703562278481,0.0880584445934266,0.241109010875365,0.586298113681597,2.62648574560911e-06,0.000170801311962887,11,20,"edgeR QL; design ~ donor_id + GART_status",3.76750879772164,"FDR <0.05",8,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"CDK4",0.405831732322068,0.0916580226847933,0.226182007859874,0.585481456784263,9.52552612432088e-06,0.00041819292230954,11,20,"edgeR QL; design ~ donor_id + GART_status",3.37862332165685,"FDR <0.05",9,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"MKI67",0.277533870364795,0.0766472483290702,0.127305263639817,0.427762477089773,0.000293552605902669,0.00392766397350012,11,20,"edgeR QL; design ~ donor_id + GART_status",2.40586567483038,"FDR <0.05",10,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
"IMPDH2",0.163123476012026,0.068872215301346,0.0281339340213881,0.298113018002664,0.0178606369186631,0.0666896007737058,11,20,"edgeR QL; design ~ donor_id + GART_status",1.17594188240584,"ns",11,"Frozen SCP259 donor-paired edgeR quasi-likelihood pseudobulk DEG","log2 fold change: GART-detected minus GART-undetected","A priori proliferation/nucleotide-metabolism gene pool; all available genes retained, including IMPDH2 as nonsignificant; display order fixed by descending archived log2FC; no donor-level matrix reconstructed"
