"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"HALLMARK_ADIPOGENESIS",0.00137960400785421,0.00246357858545395,0.45505986738723,-0.388964664565049,-1.5965547775359,156,"STOM|MYLK|CCNG2|PFKFB3|ABCA1|RIOK3|IFNGR1|RNF11|NABP1|SOWAHC|SULT1A1|PPARG|ITSN1|TOB1|MGLL|BCL6|APOE|RETSAT|ACOX1|ARL4A|DNAJB9|GPD2|ADIPOR2|RREB1|TANK|PPP1R15B|PLIN2|ACAA2|ATP1B3|CMBL|ELMOD3|PPM1B|APLP2|UBC|BAZ2A|CHUK|AGPAT3|DHRS7|MGST3|TST|PDCD4|POR|GADD45A|EPHX2|PIM3|SSPN|MAP4K3|CRAT|DRAM2","Hallmark"
"HALLMARK_ALLOGRAFT_REJECTION",4.83542119498439e-06,1.42218270440717e-05,0.610526878385931,-0.511531665853121,-1.9880367191823,102,"IL1B|ACHE|CD79A|SRGN|EREG|PTPRC|GBP2|JAK2|BCL10|ICAM1|IFNGR1|IL18|LTB|IRF7|IL2RG|ICOSLG|IL15|NOS2|IFNAR2|ABI1|IL7|IFNGR2|CCL5|CXCR3|NCK1|ELF4|CTSS|TLR3|HLA-E|EGFR|EIF4G3|HLA-DOA|ETS1|HLA-DQA1|B2M|CDKN2A|GALNT1|CD7|LY75|ACVR2A|TIMP1|CD3D|TPD52|TAPBP|LYN|HIF1A|IL4R|BCL3","Hallmark"
"HALLMARK_ANDROGEN_RESPONSE",0.0020034464811921,0.00345421807102087,0.431707695803346,-0.44673385751029,-1.68525997201583,82,"HPGD|B4GALT1|TSC22D1|SLC26A2|INPP4B|SGK1|TMPRSS2|KRT19|KRT8|NDRG1|ZBTB10|SAT1|PMEPA1|DNAJB9|PTK2B|PDLIM5|ELL2|ZMIZ1|GPD1L|SLC38A2|ITGAV|ABHD2|B2M|PTPN21|IQGAP2|VAPA|NCOA4|MYL12A|TPD52|HERC3|UBE2J1|TMEM50A","Hallmark"
"HALLMARK_ANGIOGENESIS",0.000612564724874976,0.00113437912013884,0.477270815362862,-0.716386525223984,-1.93680780736636,17,"SLCO2A1|COL3A1|PDGFA|FSTL1|TNFRSF21|JAG1|S100A4|VEGFA","Hallmark"
"HALLMARK_APICAL_JUNCTION",8.44907306950211e-06,2.34696474152836e-05,0.593325476396405,-0.496589789063176,-1.93817016853484,107,"RHOF|COL17A1|LAMA3|B4GALT1|LAMB3|LAMC2|PTPRC|ICAM1|MSN|IRS1|PIK3R3|WASL|ITGA3|ITGB4|CDK8|ITGA2|ICAM2|VASP|CAP1|CDH3|BMP1|ZYX|CLDN4|EGFR|MAPK14|CTNNA1|RAC2|LIMA1|ACTB|SKAP2|ACTN4|BAIAP2|CDH1|TNFRSF11B|PIK3CB|ADAM9|VCL|ITGB1|GNAI1|PBX2|CRAT|NF1|DLG1|JUP|MDK|MYL12B|SRC|SHC1|ARPC2|MYH9|LDLRAP1|CRB3|PCDH1|CTNND1|PTEN|ACTG1","Hallmark"
"HALLMARK_APICAL_SURFACE",0.287603305785124,0.321489001692047,0.0995791200495904,-0.398229717540792,-1.1305455245865,21,"PLAUR|B4GALT1|HSPB1|IL2RG|ADIPOR2|ADAM10","Hallmark"
"HALLMARK_APOPTOSIS",1e-10,5e-10,NA,-0.584179933541764,-2.34187171462038,126,"EMP1|TIMP2|IL1B|ANXA1|HMOX1|CDKN1A|ISG20|BIRC3|EREG|BMP2|RARA|PPP2R5B|BCL10|IFNGR1|EGR3|IL18|IRF1|SMAD7|HSPB1|ATF3|TXNIP|BNIP3L|SAT1|GSN|CASP7|RETSAT|LGALS3|PMAIP1|BCL2L1|CASP8|XIAP|SQSTM1|MCL1|TNFSF10|DPYD|CYLD|RHOB|CTNNB1|BTG2|DDIT3|GADD45B|PPP3R1|IGF2R|PSEN1|CFLAR|CLU|CD14|PSEN2|ERBB2|CD69|IER3|GNA15|ERBB3|RNASEL|ROCK1|ADD1|CTH|PDCD4|GADD45A|VDAC2|SOD2|TIMP1","Hallmark"
"HALLMARK_BILE_ACID_METABOLISM",0.0860832137733142,0.111593546788347,0.181383128498408,-0.36522778239165,-1.3354229105154,70,"NR1I2|SULT2B1|ABCA1|PAOX|ATXN1|SULT1B1|SLC22A18|OPTN|BCAR3|EFHC1|RETSAT|ABCA5|NR3C2|PNPLA8|ABCD1|PEX26|ACSL5|HSD17B11|TFCP2L1|EPHX2|LONP2|CYP27A1|NUDT12|ABCD3|SLC27A2|PHYH","Hallmark"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0411221145968079,0.057114048051122,0.321775918075361,-0.414342681353001,-1.49541499594888,65,"ERRFI1|SEMA3B|PLAUR|PNRC1|CPEB2|ANTXR2|ATF3|PPARG|TP53INP1|NFIL3|LGALS3|JAG1|MAL2|LDLR|CTNNB1|CLU|ACSS2|ETHE1","Hallmark"
"HALLMARK_COAGULATION",1.94226409095623e-05,4.62443831180056e-05,0.575610261071129,-0.562187779138214,-2.02900660080983,65,"ANXA1|MEP1A|PRSS23|CTSE|F3|MAFF|THBS1|LRP1|MMP3|CFI|CPQ|HNF4A|GSN|FN1|GNG12|CAPN2|C1R|ITGA2|FURIN|BMP1|DUSP6|GDA|CLU|MMP15","Hallmark"
"HALLMARK_COMPLEMENT",1e-10,5e-10,NA,-0.597922373063773,-2.39671889969706,127,"TIMP2|DUSP5|CDA|PLAUR|CD55|CASP5|CD59|F3|MAFF|TNFAIP3|C4BPB|CPM|LRP1|PDP1|CASP10|JAK2|CA2|PPP2CB|IRF1|DOCK4|EHD1|IRF7|CTSD|CXCL1|DYRK2|CPQ|HNF4A|CASP7|LGALS3|FN1|SIRT6|C1R|PIM1|PRSS3|RHOG|CCL5|GPD2|CTSL|PIK3CA|CTSS|PCLO|DUSP6|COL4A2|PSEN1|CLU|PRKCD|MMP15","Hallmark"
"HALLMARK_DNA_REPAIR",0.00051064863928985,0.000982016614018942,0.477270815362862,0.457468325474441,2.06238306808035,139,"FEN1|POLA2|RFC3|RFC4|LIG1|RAD51|PCNA|PRIM1|TYMS|ZWINT|POLA1|RFC5|RPA2|RFC2|UMPS|DUT|POLD1|NME1|ALYREF|POLD3|RPA3|SAC3D1|POLR2G|DGCR8|RAE1|DDB2|CLP1|POLR2E|SSRP1|POLR1C|POLR2I|SF3A3|POLR2D|CSTF3|HPRT1|AAAS|CCNO|GTF3C5|NME4|MRPL40|IMPDH2|POLR2H|TARBP2|ITPA|APRT|ADA|SNAPC4|CETN2|NUDT21|RRM2B|TP53|BRF2|RBX1","Hallmark"
