"analysis","random_structure","term","estimate","SE","CI_low","CI_high","P","OR","OR_CI_low","OR_CI_high","n_cells","n_donors","isSingular","convergence_warning","donor_variance","sample_variance","residual_variance","module","phase","FDR"
"Reactome_purine_GART_excluded::G1","donor-only","GART_statuspositive",0.205607462176966,0.0341193889149387,0.138733459903687,0.272481464450246,1.67944633903521e-09,NA,NA,NA,4806,30,FALSE,"",0.115556703073744,NA,0.838582912400682,"Reactome_purine_GART_excluded","G1",5.87806218662322e-09
"Reactome_purine_GART_excluded::S","donor-only","GART_statuspositive",0.19610070970257,0.0387220733623326,0.120205445912398,0.271995973492741,4.09875180116391e-07,NA,NA,NA,2777,25,FALSE,"",0.0672149822353189,NA,0.888813342682637,"Reactome_purine_GART_excluded","S",9.5637542027158e-07
"Reactome_purine_GART_excluded::G2M","donor-only","GART_statuspositive",0.200257218719964,0.0517840556621053,0.0987604696222379,0.301753967817691,0.000110110275593828,NA,NA,NA,1723,21,FALSE,"",0.0607241947204628,NA,0.930473230562451,"Reactome_purine_GART_excluded","G2M",0.000385385964578399
"Reactome_DNA_replication::G1","donor-only","GART_statuspositive",0.146550258852609,0.0295146879477025,0.0887014704751125,0.204399047230106,6.85832302362448e-07,NA,NA,NA,4806,30,FALSE,"",0.18227548341528,NA,0.62727729989441,"Reactome_DNA_replication","G1",1.20020652913428e-06
"Reactome_DNA_replication::S","donor-only","GART_statuspositive",0.217258618969101,0.035262175290166,0.148144755400376,0.286372482537826,7.21788713117578e-10,NA,NA,NA,2777,25,FALSE,"",0.211772399455345,NA,0.736200306485686,"Reactome_DNA_replication","S",2.52626049591152e-09
"Reactome_DNA_replication::G2M","donor-only","GART_statuspositive",0.202716211753306,0.0463778813613743,0.111815564285012,0.2936168592216,1.2369721044786e-05,NA,NA,NA,1723,21,FALSE,"",0.265589673026392,NA,0.743520457346034,"Reactome_DNA_replication","G2M",8.65880473135017e-05
"Reactome_DNA_repair::G1","donor-only","GART_statuspositive",0.186708457437043,0.0302675677182374,0.127384024709297,0.246032890164788,6.88981469754548e-10,NA,NA,NA,4806,30,FALSE,"",0.147227901039677,NA,0.6597661973877,"Reactome_DNA_repair","G1",4.82287028828184e-09
"Reactome_DNA_repair::S","donor-only","GART_statuspositive",0.250406683939432,0.0355003336202484,0.180826030043745,0.319987337835119,1.74293061274558e-12,NA,NA,NA,2777,25,FALSE,"",0.169029973377353,NA,0.746314437588469,"Reactome_DNA_repair","S",1.22005142892191e-11
"Reactome_DNA_repair::G2M","donor-only","GART_statuspositive",0.179321084533282,0.0477169790129213,0.0857958056679562,0.272846363398607,0.000171267166725592,NA,NA,NA,1723,21,FALSE,"",0.169423681776616,NA,0.787923195737823,"Reactome_DNA_repair","G2M",0.000399623389026381
"Reactome_mitotic_cell_cycle::G1","donor-only","GART_statuspositive",0.1480336996236,0.0296844465169708,0.0898521844503377,0.206215214796863,6.13522378187252e-07,NA,NA,NA,4806,30,FALSE,"",0.0931902992638735,NA,0.634725718721302,"Reactome_mitotic_cell_cycle","G1",1.20020652913428e-06
"Reactome_mitotic_cell_cycle::S","donor-only","GART_statuspositive",0.177243333449916,0.0361052202612929,0.106477101737782,0.24800956516205,9.15056968827536e-07,NA,NA,NA,2777,25,FALSE,"",0.111742908617287,NA,0.77225405803318,"Reactome_mitotic_cell_cycle","S",1.60134969544819e-06
"Reactome_mitotic_cell_cycle::G2M","donor-only","GART_statuspositive",0.071521014652878,0.0505736651961082,-0.027603369131494,0.17064539843725,0.157304712523266,NA,NA,NA,1723,21,FALSE,"",0.0908062815396198,NA,0.886549320266506,"Reactome_mitotic_cell_cycle","G2M",0.183522164610477
"GO_intestinal_stem_cell_homeostasis::G1","donor-only","GART_statuspositive",-0.136063823509418,0.0320824596913538,-0.198945444504471,-0.0731822025143645,2.22460873455855e-05,NA,NA,NA,4806,30,FALSE,"",0.494619957978748,NA,0.740949580941307,"GO_intestinal_stem_cell_homeostasis","G1",2.59537685698498e-05
"GO_intestinal_stem_cell_homeostasis::S","donor-only","GART_statuspositive",0.0713220543410188,0.0379360345311944,-0.00303257334012214,0.14567668202216,0.0600997816799032,NA,NA,NA,2777,25,FALSE,"",0.290257525401129,NA,0.851979074129811,"GO_intestinal_stem_cell_homeostasis","S",0.0600997816799032
"GO_intestinal_stem_cell_homeostasis::G2M","donor-only","GART_statuspositive",-0.083115786528799,0.049174934377746,-0.179498657909181,0.0132670848515832,0.0909884832557988,NA,NA,NA,1723,21,FALSE,"",0.25259185951868,NA,0.836199464560005,"GO_intestinal_stem_cell_homeostasis","G2M",0.127383876558118
