"analysis","random_structure","term","estimate","SE","CI_low","CI_high","P","OR","OR_CI_low","OR_CI_high","n_cells","n_donors","isSingular","convergence_warning","donor_variance","sample_variance","residual_variance","FDR"
"Reactome_purine_GART_excluded","donor-only","GART_statuspositive",0.140876580585198,0.0193230664266305,0.103003370389002,0.178749790781394,3.08597522494075e-13,NA,NA,NA,9306,33,FALSE,"",0.0580487637706007,NA,0.619472770002434,1.08009132872926e-12
"Reactome_purine_GART_excluded","donor/sample","GART_statuspositive",0.136011708790957,0.0191907104729612,0.0983979162639526,0.173625501317961,1.36682377844711e-12,NA,NA,NA,9306,33,FALSE,"",0.0491155537157877,0.0349777472244148,0.608026179332772,6.88625861443913e-12
"Reactome_DNA_replication","donor-only","GART_statuspositive",0.0947436283731127,0.0142644554238786,0.0667852957423107,0.122701961003915,3.09585219949845e-11,NA,NA,NA,9306,33,FALSE,"",0.115256111812274,NA,0.33741854466792,7.22365513216305e-11
"Reactome_DNA_replication","donor/sample","GART_statuspositive",0.0792580017967236,0.0136303912252838,0.0525424349951673,0.10597356859828,6.07063454314591e-09,NA,NA,NA,9306,33,FALSE,"",0.101701133070956,0.0338594802591477,0.306458918937658,1.41648139340071e-08
"Reactome_DNA_repair","donor-only","GART_statuspositive",0.111748406624639,0.0145247664507575,0.0832798643811541,0.140216948868124,1.43000718504176e-14,NA,NA,NA,9306,33,FALSE,"",0.0899719131590457,NA,0.349878059482551,1.00100502952924e-13
"Reactome_DNA_repair","donor/sample","GART_statuspositive",0.0992494517356532,0.0141044089897624,0.0716048101157188,0.126894093355588,1.96750246126832e-12,NA,NA,NA,9306,33,FALSE,"",0.0721536271264551,0.0301422067016597,0.328221033777094,6.88625861443913e-12
"Reactome_mitotic_cell_cycle","donor-only","GART_statuspositive",0.0527580245938493,0.00908766658766817,0.0349461980820197,0.070569851105679,6.41920694037019e-09,NA,NA,NA,9306,33,FALSE,"",0.0215038140240067,NA,0.136987687105485,1.12336121456478e-08
"Reactome_mitotic_cell_cycle","donor/sample","GART_statuspositive",0.044106072157872,0.0088388229879295,0.0267819791015302,0.0614301652142138,6.03670773746784e-07,NA,NA,NA,9306,33,FALSE,"",0.0156657234187393,0.0127990821288684,0.128911120946052,1.05642385405687e-06
"GO_intestinal_stem_cell_homeostasis","donor-only","GART_statuspositive",-0.0616229916815678,0.021578166510576,-0.103916198042297,-0.0193297853208389,0.00429281461208724,NA,NA,NA,9306,33,FALSE,"",0.455299714211063,NA,0.772008606143185,0.00600994045692213
"GO_intestinal_stem_cell_homeostasis","donor/sample","GART_statuspositive",-0.0668808482714549,0.0209760801166738,-0.107993965300136,-0.0257677312427741,0.00143045631567282,NA,NA,NA,9306,33,FALSE,"",0.316791903432629,0.223237400625098,0.72531101558375,0.00200263884194195
"MSigDB_LEI_MYB_targets","donor-only","GART_statuspositive",-0.037213461187805,0.0205924483202906,-0.0775746598955745,0.00314773751996455,0.0707402705807449,NA,NA,NA,9306,33,FALSE,"",0.248796027925279,NA,0.703185429864471,0.0825303156775357
"MSigDB_LEI_MYB_targets","donor/sample","GART_statuspositive",-0.0505827108362303,0.0198168624377897,-0.0894237612142981,-0.0117416604581625,0.0106950284069279,NA,NA,NA,9306,33,FALSE,"",0.174046460852083,0.113527991211339,0.647623077794385,0.0124775331414159
"Reactome_MHCII_antigen_presentation","donor-only","GART_statuspositive",0.00668666543888123,0.0184844854933278,-0.0295429261280413,0.0429162570058038,0.717542788702877,NA,NA,NA,9306,33,FALSE,"",0.384270607212537,NA,0.56649144674377,0.717542788702877
"Reactome_MHCII_antigen_presentation","donor/sample","GART_statuspositive",0.00303125404344093,0.0181222651595112,-0.0324883856692011,0.038550893756083,0.867160093654729,NA,NA,NA,9306,33,FALSE,"",0.297944182459138,0.15811452022349,0.541369129114649,0.867160093654729
