"donor_id","cohort","mean_score.negative","mean_score.positive","delta","module"
"GSE214695_HC2","GSE214695",-0.0572221039838225,NA,NA,"Reactome_purine_GART_excluded"
"GSE214695_HC3","GSE214695",0.0146050342058451,0.525088876164734,0.510483841958889,"Reactome_purine_GART_excluded"
"GSE214695_HC5","GSE214695",0.217622082495088,NA,NA,"Reactome_purine_GART_excluded"
"GSE214695_UC1","GSE214695",-0.0684485236994362,NA,NA,"Reactome_purine_GART_excluded"
"GSE214695_UC2","GSE214695",0.113221824201914,0.152341757796736,0.0391199335948217,"Reactome_purine_GART_excluded"
"GSE214695_UC3","GSE214695",0.063580149382125,0.245438204039976,0.181858054657851,"Reactome_purine_GART_excluded"
"GSE214695_UC4","GSE214695",-0.0508618742698224,0.202879500680764,0.253741374950587,"Reactome_purine_GART_excluded"
"GSE214695_UC5","GSE214695",-0.0620268510674071,-0.0511441694557221,0.010882681611685,"Reactome_purine_GART_excluded"
"GSE214695_UC6","GSE214695",0.0170197298695472,0.152070000756947,0.135050270887399,"Reactome_purine_GART_excluded"
"SCP259_N10","SCP259",0.22414832104078,NA,NA,"Reactome_purine_GART_excluded"
"SCP259_N106","SCP259",0.153509943987371,0.211402647974528,0.0578927039871573,"Reactome_purine_GART_excluded"
"SCP259_N110","SCP259",0.0392903789897276,NA,NA,"Reactome_purine_GART_excluded"
"SCP259_N111","SCP259",0.0642061577086225,0.128180199712146,0.0639740420035239,"Reactome_purine_GART_excluded"
"SCP259_N12","SCP259",0.127348987386879,NA,NA,"Reactome_purine_GART_excluded"
"SCP259_N14","SCP259",0.142180327615724,0.287440496277341,0.145260168661617,"Reactome_purine_GART_excluded"
"SCP259_N15","SCP259",-0.0077079110820174,NA,NA,"Reactome_purine_GART_excluded"
"SCP259_N19","SCP259",0.387436911929016,0.165516056685815,-0.221920855243202,"Reactome_purine_GART_excluded"
"SCP259_N21","SCP259",-0.0197512104189343,NA,NA,"Reactome_purine_GART_excluded"
"SCP259_N23","SCP259",0.00561050207201841,0.114652148991274,0.109041646919256,"Reactome_purine_GART_excluded"
"SCP259_N24","SCP259",0.19628950195076,0.266420097398261,0.0701305954475017,"Reactome_purine_GART_excluded"
"SCP259_N26","SCP259",0.0792371409857642,0.322885840904185,0.243648699918421,"Reactome_purine_GART_excluded"
"SCP259_N44","SCP259",0.111777647447117,0.151624422222289,0.0398467747751714,"Reactome_purine_GART_excluded"
"SCP259_N49","SCP259",0.166655452249804,0.20144407377637,0.0347886215265658,"Reactome_purine_GART_excluded"
"SCP259_N50","SCP259",0.1294856886048,0.143145847240447,0.0136601586356477,"Reactome_purine_GART_excluded"
"SCP259_N51","SCP259",0.203443560282152,0.1955315265528,-0.00791203372935198,"Reactome_purine_GART_excluded"
"SCP259_N52","SCP259",0.0114438740252756,0.0259646540970687,0.0145207800717931,"Reactome_purine_GART_excluded"
"SCP259_N539","SCP259",0.0933465644434889,0.101288151823944,0.0079415873804551,"Reactome_purine_GART_excluded"
"SCP259_N58","SCP259",0.0854029261229665,0.155206404857767,0.0698034787348009,"Reactome_purine_GART_excluded"
"SCP259_N661","SCP259",0.0975176267604782,0.20110066992584,0.103583043165362,"Reactome_purine_GART_excluded"
"SCP259_N7","SCP259",0.188027018162021,0.15529852687261,-0.0327284912894107,"Reactome_purine_GART_excluded"
