analysis,random_structure,term,estimate,SE,CI_low,CI_high,P,OR,OR_CI_low,OR_CI_high,n_cells,n_donors,isSingular,convergence_warning,donor_variance,sample_variance,residual_variance,gene,model_part,FDR
PPAT detection,donor-only,conditionUC,-0.824969428583369,0.483522161322783,-1.7726728647760248,0.12273400760928285,0.087977039791866,0.438248390134278,0.169878319684636,1.13058365429933,9306,33,FALSE,,0.0171122846642359,NA,0,PPAT,detection,0.197400764578904
PPAT positive expression,donor-only,conditionUC,-0.0315971114766214,0.0432933096474246,-0.116451998385574,0.0532577754323309,0.465489087356092,NA,NA,NA,1133,18,FALSE,,4.96246616333684e-05,NA,0.0104645142685971,PPAT,positive_expression,0.973376895163893
GART detection,donor-only,conditionUC,0.880782595453111,0.533423868754813,-0.16472818730632144,1.9262933782125435,0.0987003822894522,2.41278720404255,0.848124203684516,6.86402070203974,9306,33,FALSE,,0.0331549202022884,NA,0,GART,detection,0.197400764578904
GART positive expression,donor-only,conditionUC,0.0404927414139181,0.082513740836705,-0.121234190626024,0.20221967345386,0.623610795260412,NA,NA,NA,3080,25,FALSE,,0.0021115609260382,NA,0.0281942026993221,GART,positive_expression,0.973376895163893
PFAS detection,donor-only,conditionUC,0.0179577841552657,0.794235580314544,-1.5387439532612415,1.5746595215717725,0.981961248826429,1.01811999468693,0.21465054329064,4.82909713476841,9306,33,FALSE,,0.120895587426394,NA,0,PFAS,detection,0.981961248826429
PFAS positive expression,donor-only,conditionUC,0.00244530558800013,0.0732712984064234,-0.14116643928859,0.14605705046459,0.973376895163893,NA,NA,NA,853,18,FALSE,,0.000619444994018147,NA,0.00929339318916354,PFAS,positive_expression,0.973376895163893
PAICS detection,donor-only,conditionUC,-0.930673227262372,0.512451265239294,-1.9350777071313894,0.07373125260664005,0.0693518959144446,0.394288175450012,0.144413046463943,1.07651745535688,9306,33,FALSE,,0.204634632006276,NA,0,PAICS,detection,0.197400764578904
PAICS positive expression,donor-only,conditionUC,-0.06492508459349,0.0807326259265773,-0.223161031409582,0.0933108622226016,0.421282145252114,NA,NA,NA,5254,27,FALSE,,0.00523946906809275,NA,0.0757728460257198,PAICS,positive_expression,0.973376895163893
ADSL detection,donor-only,conditionUC,0.075694495437669,0.487889089949502,-0.8805681208633563,1.031957111738695,0.876705483747873,1.07863299651459,0.414547331780956,2.80655320146847,9306,33,FALSE,,0.0958984971927304,NA,0,ADSL,detection,0.981961248826429
ADSL positive expression,donor-only,conditionUC,-0.0242058230966241,0.0870032444098512,-0.194732182139932,0.146320535946684,0.780845420056163,NA,NA,NA,4243,24,FALSE,,0.00472886074155521,NA,0.0438243247814411,ADSL,positive_expression,0.973376895163893
ATIC detection,donor-only,conditionUC,0.109135584782993,0.462081573052625,-0.7965442984001512,1.0148154679661383,0.813291052268894,1.11531355963733,0.450884396945338,2.75885425341453,9306,33,FALSE,,0.127161015691992,NA,0,ATIC,detection,0.981961248826429
ATIC positive expression,donor-only,conditionUC,-0.0153530160037726,0.0785892696686165,-0.169387984554261,0.138681952546716,0.845112958575685,NA,NA,NA,4700,25,FALSE,,0.0029754240505425,NA,0.0535470723853912,ATIC,positive_expression,0.973376895163893
