"cohort","condition","donor_id","detection_fraction","gene"
"GSE214695","Healthy","GSE214695_HC2",0,"PPAT"
"GSE214695","Healthy","GSE214695_HC3",0.333333333333333,"PPAT"
"GSE214695","Healthy","GSE214695_HC4",1,"PPAT"
"GSE214695","Healthy","GSE214695_HC5",0,"PPAT"
"GSE214695","Healthy","GSE214695_HC6",0,"PPAT"
"GSE214695","UC","GSE214695_UC1",0,"PPAT"
"GSE214695","UC","GSE214695_UC2",0.117647058823529,"PPAT"
"GSE214695","UC","GSE214695_UC3",0.0714285714285714,"PPAT"
"GSE214695","UC","GSE214695_UC4",0,"PPAT"
"GSE214695","UC","GSE214695_UC5",0,"PPAT"
"GSE214695","UC","GSE214695_UC6",0.111111111111111,"PPAT"
"SCP259","Healthy","SCP259_N10",0,"PPAT"
"SCP259","UC","SCP259_N106",0.130750605326877,"PPAT"
"SCP259","UC","SCP259_N110",0,"PPAT"
"SCP259","UC","SCP259_N111",0.132183908045977,"PPAT"
"SCP259","UC","SCP259_N12",0,"PPAT"
"SCP259","UC","SCP259_N14",0,"PPAT"
"SCP259","Healthy","SCP259_N15",0,"PPAT"
"SCP259","UC","SCP259_N19",0.285714285714286,"PPAT"
"SCP259","Healthy","SCP259_N21",0,"PPAT"
"SCP259","UC","SCP259_N23",0.0856353591160221,"PPAT"
"SCP259","UC","SCP259_N24",0.143170597915524,"PPAT"
"SCP259","UC","SCP259_N26",0,"PPAT"
"SCP259","UC","SCP259_N44",0.178321678321678,"PPAT"
"SCP259","UC","SCP259_N49",0.147058823529412,"PPAT"
"SCP259","UC","SCP259_N50",0.133550488599349,"PPAT"
"SCP259","Healthy","SCP259_N51",0.2,"PPAT"
"SCP259","UC","SCP259_N52",0,"PPAT"
"SCP259","UC","SCP259_N539",0.107142857142857,"PPAT"
"SCP259","UC","SCP259_N58",0.14214463840399,"PPAT"
"SCP259","UC","SCP259_N661",0.0739957716701903,"PPAT"
"SCP259","UC","SCP259_N7",0,"PPAT"
"SCP259","UC","SCP259_N9",0.0833333333333333,"PPAT"
"GSE214695","Healthy","GSE214695_HC2",0,"GART"
"GSE214695","Healthy","GSE214695_HC3",0.333333333333333,"GART"
"GSE214695","Healthy","GSE214695_HC4",1,"GART"
"GSE214695","Healthy","GSE214695_HC5",0,"GART"
"GSE214695","Healthy","GSE214695_HC6",1,"GART"
"GSE214695","UC","GSE214695_UC1",0,"GART"
"GSE214695","UC","GSE214695_UC2",0.294117647058824,"GART"
"GSE214695","UC","GSE214695_UC3",0.428571428571429,"GART"
"GSE214695","UC","GSE214695_UC4",0.333333333333333,"GART"
"GSE214695","UC","GSE214695_UC5",0.333333333333333,"GART"
"GSE214695","UC","GSE214695_UC6",0.388888888888889,"GART"
"SCP259","Healthy","SCP259_N10",0,"GART"
"SCP259","UC","SCP259_N106",0.292978208232446,"GART"
"SCP259","UC","SCP259_N110",0,"GART"
"SCP259","UC","SCP259_N111",0.396551724137931,"GART"
"SCP259","UC","SCP259_N12",0,"GART"
"SCP259","UC","SCP259_N14",0.5,"GART"
"SCP259","Healthy","SCP259_N15",0,"GART"
"SCP259","UC","SCP259_N19",0.571428571428571,"GART"
"SCP259","Healthy","SCP259_N21",0,"GART"
"SCP259","UC","SCP259_N23",0.237569060773481,"GART"
"SCP259","UC","SCP259_N24",0.38233680746023,"GART"
"SCP259","UC","SCP259_N26",0.25,"GART"
"SCP259","UC","SCP259_N44",0.433566433566434,"GART"
"SCP259","UC","SCP259_N49",0.316742081447964,"GART"
"SCP259","UC","SCP259_N50",0.299674267100977,"GART"
"SCP259","Healthy","SCP259_N51",0.1,"GART"
"SCP259","UC","SCP259_N52",0.1015625,"GART"
"SCP259","UC","SCP259_N539",0.378571428571429,"GART"
"SCP259","UC","SCP259_N58",0.433915211970075,"GART"
"SCP259","UC","SCP259_N661",0.249471458773784,"GART"
"SCP259","UC","SCP259_N7",0.296296296296296,"GART"
"SCP259","UC","SCP259_N9",0.248015873015873,"GART"
"GSE214695","Healthy","GSE214695_HC2",0,"PFAS"
"GSE214695","Healthy","GSE214695_HC3",0,"PFAS"
"GSE214695","Healthy","GSE214695_HC4",0,"PFAS"
"GSE214695","Healthy","GSE214695_HC5",0,"PFAS"
"GSE214695","Healthy","GSE214695_HC6",0,"PFAS"
"GSE214695","UC","GSE214695_UC1",0,"PFAS"
"GSE214695","UC","GSE214695_UC2",0.0588235294117647,"PFAS"
"GSE214695","UC","GSE214695_UC3",0.142857142857143,"PFAS"
"GSE214695","UC","GSE214695_UC4",0,"PFAS"
"GSE214695","UC","GSE214695_UC5",0,"PFAS"
"GSE214695","UC","GSE214695_UC6",0.0777777777777778,"PFAS"
"SCP259","Healthy","SCP259_N10",0,"PFAS"
"SCP259","UC","SCP259_N106",0.11138014527845,"PFAS"
"SCP259","UC","SCP259_N110",0,"PFAS"
"SCP259","UC","SCP259_N111",0.0488505747126437,"PFAS"
"SCP259","UC","SCP259_N12",0,"PFAS"
"SCP259","UC","SCP259_N14",0.5,"PFAS"
"SCP259","Healthy","SCP259_N15",0,"PFAS"
"SCP259","UC","SCP259_N19",0,"PFAS"
"SCP259","Healthy","SCP259_N21",0,"PFAS"
"SCP259","UC","SCP259_N23",0.0423572744014733,"PFAS"
"SCP259","UC","SCP259_N24",0.12013165112452,"PFAS"
"SCP259","UC","SCP259_N26",0.25,"PFAS"
"SCP259","UC","SCP259_N44",0.136363636363636,"PFAS"
"SCP259","UC","SCP259_N49",0.083710407239819,"PFAS"
"SCP259","UC","SCP259_N50",0.0993485342019544,"PFAS"
"SCP259","Healthy","SCP259_N51",0.1,"PFAS"
"SCP259","UC","SCP259_N52",0.0078125,"PFAS"
"SCP259","UC","SCP259_N539",0.05,"PFAS"
"SCP259","UC","SCP259_N58",0.104738154613466,"PFAS"
"SCP259","UC","SCP259_N661",0.0676532769556025,"PFAS"
"SCP259","UC","SCP259_N7",0,"PFAS"
"SCP259","UC","SCP259_N9",0.0674603174603175,"PFAS"
"GSE214695","Healthy","GSE214695_HC2",0,"PAICS"
"GSE214695","Healthy","GSE214695_HC3",0.333333333333333,"PAICS"
"GSE214695","Healthy","GSE214695_HC4",1,"PAICS"
"GSE214695","Healthy","GSE214695_HC5",0,"PAICS"
"GSE214695","Healthy","GSE214695_HC6",1,"PAICS"
"GSE214695","UC","GSE214695_UC1",0,"PAICS"
"GSE214695","UC","GSE214695_UC2",0.411764705882353,"PAICS"
"GSE214695","UC","GSE214695_UC3",0.642857142857143,"PAICS"
"GSE214695","UC","GSE214695_UC4",0.333333333333333,"PAICS"
"GSE214695","UC","GSE214695_UC5",0,"PAICS"
"GSE214695","UC","GSE214695_UC6",0.366666666666667,"PAICS"
"SCP259","Healthy","SCP259_N10",1,"PAICS"
"SCP259","UC","SCP259_N106",0.598062953995157,"PAICS"
"SCP259","UC","SCP259_N110",0.142857142857143,"PAICS"
"SCP259","UC","SCP259_N111",0.482758620689655,"PAICS"
"SCP259","UC","SCP259_N12",0.5,"PAICS"
"SCP259","UC","SCP259_N14",1,"PAICS"
"SCP259","Healthy","SCP259_N15",0,"PAICS"
"SCP259","UC","SCP259_N19",0.714285714285714,"PAICS"
"SCP259","Healthy","SCP259_N21",0.333333333333333,"PAICS"
"SCP259","UC","SCP259_N23",0.319521178637201,"PAICS"
"SCP259","UC","SCP259_N24",0.674163466812946,"PAICS"
"SCP259","UC","SCP259_N26",0,"PAICS"
"SCP259","UC","SCP259_N44",0.688811188811189,"PAICS"
"SCP259","UC","SCP259_N49",0.642533936651584,"PAICS"
"SCP259","UC","SCP259_N50",0.561889250814332,"PAICS"
"SCP259","Healthy","SCP259_N51",0.85,"PAICS"
"SCP259","UC","SCP259_N52",0.15625,"PAICS"
"SCP259","UC","SCP259_N539",0.503571428571429,"PAICS"
"SCP259","UC","SCP259_N58",0.591022443890274,"PAICS"
"SCP259","UC","SCP259_N661",0.487315010570825,"PAICS"
"SCP259","UC","SCP259_N7",0.296296296296296,"PAICS"
"SCP259","UC","SCP259_N9",0.513888888888889,"PAICS"
"GSE214695","Healthy","GSE214695_HC2",0,"ADSL"
"GSE214695","Healthy","GSE214695_HC3",0,"ADSL"
"GSE214695","Healthy","GSE214695_HC4",0,"ADSL"
"GSE214695","Healthy","GSE214695_HC5",0,"ADSL"
"GSE214695","Healthy","GSE214695_HC6",0,"ADSL"
"GSE214695","UC","GSE214695_UC1",0,"ADSL"
"GSE214695","UC","GSE214695_UC2",0.0588235294117647,"ADSL"
"GSE214695","UC","GSE214695_UC3",0.0714285714285714,"ADSL"
"GSE214695","UC","GSE214695_UC4",0,"ADSL"
"GSE214695","UC","GSE214695_UC5",0,"ADSL"
"GSE214695","UC","GSE214695_UC6",0.144444444444444,"ADSL"
"SCP259","Healthy","SCP259_N10",1,"ADSL"
"SCP259","UC","SCP259_N106",0.484261501210654,"ADSL"
"SCP259","UC","SCP259_N110",0.142857142857143,"ADSL"
"SCP259","UC","SCP259_N111",0.448275862068966,"ADSL"
"SCP259","UC","SCP259_N12",0.25,"ADSL"
"SCP259","UC","SCP259_N14",1,"ADSL"
"SCP259","Healthy","SCP259_N15",1,"ADSL"
"SCP259","UC","SCP259_N19",0.571428571428571,"ADSL"
"SCP259","Healthy","SCP259_N21",0,"ADSL"
"SCP259","UC","SCP259_N23",0.316758747697974,"ADSL"
"SCP259","UC","SCP259_N24",0.528524410312671,"ADSL"
"SCP259","UC","SCP259_N26",0.25,"ADSL"
"SCP259","UC","SCP259_N44",0.479020979020979,"ADSL"
"SCP259","UC","SCP259_N49",0.556561085972851,"ADSL"
"SCP259","UC","SCP259_N50",0.42671009771987,"ADSL"
"SCP259","Healthy","SCP259_N51",0.4,"ADSL"
"SCP259","UC","SCP259_N52",0.234375,"ADSL"
"SCP259","UC","SCP259_N539",0.382142857142857,"ADSL"
"SCP259","UC","SCP259_N58",0.553615960099751,"ADSL"
"SCP259","UC","SCP259_N661",0.352008456659619,"ADSL"
"SCP259","UC","SCP259_N7",0.444444444444444,"ADSL"
"SCP259","UC","SCP259_N9",0.462301587301587,"ADSL"
"GSE214695","Healthy","GSE214695_HC2",0,"ATIC"
"GSE214695","Healthy","GSE214695_HC3",0,"ATIC"
"GSE214695","Healthy","GSE214695_HC4",0,"ATIC"
"GSE214695","Healthy","GSE214695_HC5",1,"ATIC"
"GSE214695","Healthy","GSE214695_HC6",1,"ATIC"
"GSE214695","UC","GSE214695_UC1",0,"ATIC"
"GSE214695","UC","GSE214695_UC2",0.411764705882353,"ATIC"
"GSE214695","UC","GSE214695_UC3",0.357142857142857,"ATIC"
"GSE214695","UC","GSE214695_UC4",0.333333333333333,"ATIC"
"GSE214695","UC","GSE214695_UC5",0,"ATIC"
"GSE214695","UC","GSE214695_UC6",0.422222222222222,"ATIC"
"SCP259","Healthy","SCP259_N10",0,"ATIC"
"SCP259","UC","SCP259_N106",0.484261501210654,"ATIC"
"SCP259","UC","SCP259_N110",0.285714285714286,"ATIC"
"SCP259","UC","SCP259_N111",0.474137931034483,"ATIC"
"SCP259","UC","SCP259_N12",0.25,"ATIC"
"SCP259","UC","SCP259_N14",1,"ATIC"
"SCP259","Healthy","SCP259_N15",0,"ATIC"
"SCP259","UC","SCP259_N19",0.714285714285714,"ATIC"
"SCP259","Healthy","SCP259_N21",0,"ATIC"
"SCP259","UC","SCP259_N23",0.412523020257827,"ATIC"
"SCP259","UC","SCP259_N24",0.612452002194185,"ATIC"
"SCP259","UC","SCP259_N26",0.75,"ATIC"
"SCP259","UC","SCP259_N44",0.520979020979021,"ATIC"
"SCP259","UC","SCP259_N49",0.509049773755656,"ATIC"
"SCP259","UC","SCP259_N50",0.340390879478827,"ATIC"
"SCP259","Healthy","SCP259_N51",0.5,"ATIC"
"SCP259","UC","SCP259_N52",0.2421875,"ATIC"
"SCP259","UC","SCP259_N539",0.492857142857143,"ATIC"
"SCP259","UC","SCP259_N58",0.640897755610973,"ATIC"
"SCP259","UC","SCP259_N661",0.31183932346723,"ATIC"
"SCP259","UC","SCP259_N7",0.481481481481481,"ATIC"
"SCP259","UC","SCP259_N9",0.515873015873016,"ATIC"
