donor_id,cohort,GART_undetected_median,GART_detected_median,paired_difference,n_paired_donors,displayed_test,displayed_P,parametric_sensitivity_test,parametric_sensitivity_P,archived_mean_difference,archived_mean_difference_CI_low,archived_mean_difference_CI_high,trajectory_definition
GSE214695_HC3,GSE214695,0.517578810438976,0.546834477703768,0.0292556672647925,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
GSE214695_UC2,GSE214695,0.463647275153229,0.464535721446574,0.000888446293344558,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
GSE214695_UC3,GSE214695,0.498452903592213,0.469782928664952,-0.0286699749272607,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
GSE214695_UC4,GSE214695,0.607841818234556,0.526348702539253,-0.0814931156953034,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
GSE214695_UC5,GSE214695,0.380190013977111,0.729630950858685,0.349440936881575,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
GSE214695_UC6,GSE214695,0.376995185041476,0.481687126513283,0.104691941471807,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N106,SCP259,0.472760371997265,0.553095835583135,0.0803354635858701,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N111,SCP259,0.472359066226995,0.515876904417049,0.0435178381900539,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N14,SCP259,0.704178176650362,0.624677999342675,-0.0795001773076867,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N19,SCP259,0.51072512145614,0.556059323575224,0.045334202119084,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N23,SCP259,0.457120280625784,0.566057040670243,0.108936760044459,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N24,SCP259,0.561564908591567,0.616971935932547,0.0554070273409801,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N26,SCP259,0.672540452741685,0.455582000709704,-0.216958452031981,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N44,SCP259,0.474047593380817,0.566065494757381,0.0920179013765642,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N49,SCP259,0.501368048239217,0.558585724347053,0.0572176761078352,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N50,SCP259,0.48879546825234,0.564625782042185,0.0758303137898449,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N51,SCP259,0.524607460120188,0.614766534610346,0.090159074490158,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N52,SCP259,0.600968263480251,0.593929411995402,-0.00703885148484917,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N539,SCP259,0.472006331222179,0.467680234945286,-0.0043260962768934,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N58,SCP259,0.483457736954232,0.490115736164549,0.00665799921031707,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N661,SCP259,0.270095471001118,0.353048091700917,0.0829526206997996,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N7,SCP259,0.573548256197695,0.622447112968089,0.0488988567703941,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
SCP259_N9,SCP259,0.574770497167007,0.644863880437209,0.0700933832702014,23,paired Wilcoxon test,0.0234566482956348,paired t-test,0.0688285956267675,0.0401586713557872,-0.00337311808820915,0.0836904607997836,GART-independent state continuum
