"donor_id","cohort","trajectory","negative","positive","delta"
"GSE214695_HC2","GSE214695","median_independent_root",0.306470243081215,NA,NA
"GSE214695_HC3","GSE214695","median_independent_root",0.517578810438976,0.546834477703768,0.0292556672647925
"GSE214695_HC4","GSE214695","median_independent_root",NA,0.798795447547825,NA
"GSE214695_HC5","GSE214695","median_independent_root",0.473605514737351,NA,NA
"GSE214695_HC6","GSE214695","median_independent_root",NA,0.620366437023791,NA
"GSE214695_UC1","GSE214695","median_independent_root",0.318527026086083,NA,NA
"GSE214695_UC2","GSE214695","median_independent_root",0.463647275153229,0.464535721446574,0.000888446293344558
"GSE214695_UC3","GSE214695","median_independent_root",0.498452903592213,0.469782928664952,-0.0286699749272607
"GSE214695_UC4","GSE214695","median_independent_root",0.607841818234556,0.526348702539253,-0.0814931156953034
"GSE214695_UC5","GSE214695","median_independent_root",0.380190013977111,0.729630950858685,0.349440936881575
"GSE214695_UC6","GSE214695","median_independent_root",0.376995185041476,0.481687126513283,0.104691941471807
"SCP259_N10","SCP259","median_independent_root",0.64915782291223,NA,NA
"SCP259_N106","SCP259","median_independent_root",0.472760371997265,0.553095835583135,0.0803354635858701
"SCP259_N110","SCP259","median_independent_root",0.611387406051436,NA,NA
"SCP259_N111","SCP259","median_independent_root",0.472359066226995,0.515876904417049,0.0435178381900539
"SCP259_N12","SCP259","median_independent_root",0.804074678955962,NA,NA
"SCP259_N14","SCP259","median_independent_root",0.704178176650362,0.624677999342675,-0.0795001773076867
"SCP259_N15","SCP259","median_independent_root",0.605935327971896,NA,NA
"SCP259_N19","SCP259","median_independent_root",0.51072512145614,0.556059323575224,0.045334202119084
"SCP259_N21","SCP259","median_independent_root",0.67782122613397,NA,NA
"SCP259_N23","SCP259","median_independent_root",0.457120280625784,0.566057040670243,0.108936760044459
"SCP259_N24","SCP259","median_independent_root",0.561564908591567,0.616971935932547,0.0554070273409801
"SCP259_N26","SCP259","median_independent_root",0.672540452741685,0.455582000709704,-0.216958452031981
"SCP259_N44","SCP259","median_independent_root",0.474047593380817,0.566065494757381,0.0920179013765642
"SCP259_N49","SCP259","median_independent_root",0.501368048239217,0.558585724347053,0.0572176761078352
"SCP259_N50","SCP259","median_independent_root",0.48879546825234,0.564625782042185,0.0758303137898449
"SCP259_N51","SCP259","median_independent_root",0.524607460120188,0.614766534610346,0.090159074490158
"SCP259_N52","SCP259","median_independent_root",0.600968263480251,0.593929411995402,-0.00703885148484917
"SCP259_N539","SCP259","median_independent_root",0.472006331222179,0.467680234945286,-0.0043260962768934
"SCP259_N58","SCP259","median_independent_root",0.483457736954232,0.490115736164549,0.00665799921031707
"SCP259_N661","SCP259","median_independent_root",0.270095471001118,0.353048091700917,0.0829526206997996
"SCP259_N7","SCP259","median_independent_root",0.573548256197695,0.622447112968089,0.0488988567703941
"SCP259_N9","SCP259","median_independent_root",0.574770497167007,0.644863880437209,0.0700933832702014
"GSE214695_HC2","GSE214695","median_no_GART_no_cell_cycle",0.559237648949365,NA,NA
"GSE214695_HC3","GSE214695","median_no_GART_no_cell_cycle",0.795186297199864,0.845766252066961,0.0505799548670968
"GSE214695_HC4","GSE214695","median_no_GART_no_cell_cycle",NA,0.818684806699694,NA
"GSE214695_HC5","GSE214695","median_no_GART_no_cell_cycle",0.664179280587499,NA,NA
"GSE214695_HC6","GSE214695","median_no_GART_no_cell_cycle",NA,0.708726554103671,NA
"GSE214695_UC1","GSE214695","median_no_GART_no_cell_cycle",0.65943851922781,NA,NA
"GSE214695_UC2","GSE214695","median_no_GART_no_cell_cycle",0.547909534163589,0.54660346472917,-0.0013060694344188
"GSE214695_UC3","GSE214695","median_no_GART_no_cell_cycle",0.651989940723047,0.585466511940006,-0.0665234287830403
"GSE214695_UC4","GSE214695","median_no_GART_no_cell_cycle",0.53900234432573,0.590036682214767,0.0510343378890364
"GSE214695_UC5","GSE214695","median_no_GART_no_cell_cycle",0.708563624751386,0.751632967382894,0.0430693426315075
"GSE214695_UC6","GSE214695","median_no_GART_no_cell_cycle",0.506558527959801,0.709547081391222,0.202988553431421
"SCP259_N10","SCP259","median_no_GART_no_cell_cycle",0.805421765072464,NA,NA
"SCP259_N106","SCP259","median_no_GART_no_cell_cycle",0.593289172332849,0.60058541255733,0.00729624022448128
"SCP259_N110","SCP259","median_no_GART_no_cell_cycle",0.762382472749969,NA,NA
"SCP259_N111","SCP259","median_no_GART_no_cell_cycle",0.67823690014351,0.671390722400841,-0.00684617774266927
"SCP259_N12","SCP259","median_no_GART_no_cell_cycle",0.828551281960649,NA,NA
"SCP259_N14","SCP259","median_no_GART_no_cell_cycle",0.714607550343794,0.613975806102107,-0.100631744241686
"SCP259_N15","SCP259","median_no_GART_no_cell_cycle",0.869710962634881,NA,NA
"SCP259_N19","SCP259","median_no_GART_no_cell_cycle",0.610926061215579,0.693084265674492,0.0821582044589128
"SCP259_N21","SCP259","median_no_GART_no_cell_cycle",0.861090536264756,NA,NA
"SCP259_N23","SCP259","median_no_GART_no_cell_cycle",0.520284065001763,0.658569250081342,0.138285185079579
"SCP259_N24","SCP259","median_no_GART_no_cell_cycle",0.631783355479427,0.620775146151722,-0.0110082093277055
"SCP259_N26","SCP259","median_no_GART_no_cell_cycle",0.798980134397556,0.711062043151283,-0.0879180912462737
"SCP259_N44","SCP259","median_no_GART_no_cell_cycle",0.693469694105149,0.73441395063312,0.0409442565279715
"SCP259_N49","SCP259","median_no_GART_no_cell_cycle",0.755873295826644,0.752595950002778,-0.00327734582386641
"SCP259_N50","SCP259","median_no_GART_no_cell_cycle",0.675558581814927,0.658260304226302,-0.0172982775886248
"SCP259_N51","SCP259","median_no_GART_no_cell_cycle",0.690203578799272,0.715136902523731,0.0249333237244589
"SCP259_N52","SCP259","median_no_GART_no_cell_cycle",0.729078688718313,0.729561774989707,0.000483086271393374
"SCP259_N539","SCP259","median_no_GART_no_cell_cycle",0.662663535594323,0.658775193727482,-0.00388834186684117
"SCP259_N58","SCP259","median_no_GART_no_cell_cycle",0.679352800447883,0.688045774189129,0.008692973741246
"SCP259_N661","SCP259","median_no_GART_no_cell_cycle",0.257290703474566,0.310502682641073,0.0532119791665076
"SCP259_N7","SCP259","median_no_GART_no_cell_cycle",0.637901367589243,0.646628466620947,0.00872709903170321
"SCP259_N9","SCP259","median_no_GART_no_cell_cycle",0.743610170721923,0.726102191715159,-0.0175079790067644
