"gene","seed","rank","distance"
"GART",1234,1,1.11728219567891e-05
"AGR2",1234,2,7.66291784989912e-08
"NME1",1234,3,7.12372930177128e-08
"SLC1A5",1234,4,6.39382171920577e-08
"ASNS",1234,5,6.33385594294889e-08
"PSAT1",1234,6,6.31343282645027e-08
"EIF4EBP1",1234,7,6.23499091350957e-08
"C19orf10",1234,8,5.06647754896199e-08
"REG4",1234,9,4.57255583503825e-08
"TUBA4A",1234,10,4.54788340421415e-08
"C1QBP",1234,11,4.18756495348555e-08
"LDHB",1234,12,4.09918566407243e-08
"RANBP1",1234,13,4.05321455246516e-08
"RRP7A",1234,14,4.05101393513097e-08
"EBNA1BP2",1234,15,3.99309534170642e-08
"TUBA1B",1234,16,3.99099975224293e-08
"SDF2L1",1234,17,3.99065778666767e-08
"PPIB",1234,18,3.85446594835878e-08
"PYCR1",1234,19,3.74946965205064e-08
"NPM3",1234,20,3.66660337805843e-08
"FABP5",1234,21,3.56434404819559e-08
"CDK4",1234,22,3.5544415374874e-08
"KLK1",1234,23,3.48373029075453e-08
"GARS",1234,24,3.44160989741894e-08
"NHP2",1234,25,3.43728422467435e-08
"DUOX2",1234,26,3.39320254589253e-08
"NOP16",1234,27,3.37903625492573e-08
"NPM1",1234,28,3.37835471636975e-08
"RAN",1234,29,3.35425757179495e-08
"PARK7",1234,30,3.33516517935719e-08
"MCM7",1234,31,3.33496004514281e-08
"CD320",1234,32,3.32381631180125e-08
"EIF3I",1234,33,3.26562456360708e-08
"PRMT1",1234,34,3.23953226864985e-08
"SNRPB",1234,35,3.22094861870562e-08
"MANF",1234,36,3.21717195687135e-08
"EMG1",1234,37,3.2105857723624e-08
"MUC2",1234,38,3.20789911261698e-08
"FBL",1234,39,3.02289820436248e-08
"HSPD1",1234,40,3.01077385695009e-08
"GADD45GIP1",1234,41,2.99292949416068e-08
"PFN1",1234,42,2.98026356069519e-08
"TMED9",1234,43,2.97397625545054e-08
"CEACAM1",1234,44,2.95322867809494e-08
"SF3B5",1234,45,2.92808846067906e-08
"CHCHD2",1234,46,2.88001293818464e-08
"CEACAM6",1234,47,2.87885413368524e-08
"PLAC8",1234,48,2.86670183801803e-08
"CEACAM7",1234,49,2.8657672466547e-08
"PHB",1234,50,2.85888563731404e-08
"SLC38A5",1234,51,2.83853694153064e-08
"SNRPD1",1234,52,2.79758240509321e-08
"PCNA",1234,53,2.79078979908993e-08
"GSTP1",1234,54,2.72136565060618e-08
"MXD1",1234,55,2.68745863384194e-08
"PAICS",1234,56,2.68583362528207e-08
"POLD2",1234,57,2.65792373996696e-08
"GINS2",1234,58,2.65154561202878e-08
"IMPDH2",1234,59,2.65138285698719e-08
"PRDX2",1234,60,2.65015400965627e-08
"PSMB3",1234,61,2.62782055433815e-08
"TOMM40",1234,62,2.62422033271805e-08
"NAP1L1",1234,63,2.60133125243237e-08
"H2AFZ",1234,64,2.59969876613429e-08
"U2AF1",1234,65,2.59493665797903e-08
"HK2",1234,66,2.56311710200264e-08
"SPDEF",1234,67,2.54845668240653e-08
"TIMM13",1234,68,2.53699410400241e-08
"SRSF7",1234,69,2.50848181750003e-08
"PSMA7",1234,70,2.50835980491625e-08
"PSMB6",1234,71,2.48713834096087e-08
"KRT18",1234,72,2.46873365867274e-08
"FAM96B",1234,73,2.45985482615099e-08
"FABP2",1234,74,2.45711675720998e-08
"SDCBP2",1234,75,2.42810052744117e-08
"PRDX4",1234,76,2.41910490056883e-08
"ENO1",1234,77,2.41397656135818e-08
"TRMT112",1234,78,2.40375418762144e-08
"MRPS26",1234,79,2.40208625793847e-08
"KRT20",1234,80,2.39016966027827e-08
"PA2G4",1234,81,2.38793219604038e-08
"HNRNPA1",1234,82,2.38406023437387e-08
"BANF1",1234,83,2.37990373277411e-08
"NOL7",1234,84,2.37037964467738e-08
"NDUFAB1",1234,85,2.32557080644719e-08
"TMEM147",1234,86,2.32244143186092e-08
"CCT7",1234,87,2.32093834489925e-08
"PDE4C",1234,88,2.31237432483081e-08
"SRPRB",1234,89,2.30263060123095e-08
"SEC61B",1234,90,2.30047115871304e-08
"AGR3",1234,91,2.29974406362134e-08
"EIF6",1234,92,2.28580151964636e-08
"DNPH1",1234,93,2.28294094994581e-08
"NUDC",1234,94,2.27924474055138e-08
"DCTPP1",1234,95,2.27855498343858e-08
"MRPL12",1234,96,2.2756317489827e-08
"DUT",1234,97,2.26904351740778e-08
"CDA",1234,98,2.26424847805686e-08
"PHGDH",1234,99,2.25902796179994e-08
"C11orf48",1234,100,2.25677581485293e-08
"TGM2",1234,101,2.25603953197571e-08
"APRT",1234,102,2.25424023793808e-08
"CENPV",1234,103,2.24313156333728e-08
"STRA13",1234,104,2.22893960041777e-08
"C17orf76-AS1",1234,105,2.22483715501119e-08
"NOP56",1234,106,2.21992515535993e-08
"TUBB",1234,107,2.21230244156001e-08
"SEPP1",1234,108,2.20597754152548e-08
"HSPE1",1234,109,2.20244249152138e-08
"MRPL17",1234,110,2.19706384800065e-08
"XDH",1234,111,2.17963865089816e-08
"CCT5",1234,112,2.17546897066917e-08
"SSBP1",1234,113,2.16496891001996e-08
"NUDT8",1234,114,2.14765587461563e-08
"STOM",1234,115,2.14650804344605e-08
"SNHG17",1234,116,2.12211368284888e-08
"EEF1B2",1234,117,2.12036790563417e-08
"HSP90AB1",1234,118,2.10829300161066e-08
"SLC40A1",1234,119,2.10808275357892e-08
"CDCA7",1234,120,2.10581808920206e-08
"HSP90AA1",1234,121,2.09439025529559e-08
"HMGA1",1234,122,2.0816161883707e-08
"DCXR",1234,123,2.0726704066485e-08
"OSTC",1234,124,2.06552379280917e-08
"PTMA",1234,125,2.05260705314599e-08
"CISD3",1234,126,2.04435388529188e-08
"FKBP11",1234,127,2.04389515468078e-08
"SSR2",1234,128,2.04079780789515e-08
"EPRS",1234,129,2.03738315474785e-08
"MRPS34",1234,130,2.03448962214859e-08
"S100A14",1234,131,2.02919733971326e-08
"YBX1",1234,132,2.02306264303394e-08
"ANG",1234,133,2.01746134898992e-08
"COPE",1234,134,2.01562103535869e-08
"NHP2L1",1234,135,2.00921304039142e-08
"MUC13",1234,136,2.00307990265124e-08
"GNB2L1",1234,137,1.97965864759662e-08
"PSMA3",1234,138,1.97548159147688e-08
"ATP6V0B",1234,139,1.96883660604024e-08
"ANXA2",1234,140,1.968593960982e-08
"SNRPE",1234,141,1.96846621710072e-08
"NCL",1234,142,1.96162407519595e-08
"C9orf142",1234,143,1.95510050714507e-08
"FEN1",1234,144,1.95324698398877e-08
"PSMB1",1234,145,1.95295297803652e-08
"NASP",1234,146,1.9483040680824e-08
"ATP5G1",1234,147,1.9397556578714e-08
"EIF3L",1234,148,1.92376564342897e-08
"CCT2",1234,149,1.92287045277751e-08
"SIVA1",1234,150,1.92083679611172e-08
"KRTCAP3",1234,151,1.91732970504052e-08
"C19orf48",1234,152,1.90674669431405e-08
"SNHG5",1234,153,1.90031980987033e-08
"EEF1A1",1234,154,1.89679654615676e-08
"TXN",1234,155,1.89395372704217e-08
"TMPRSS2",1234,156,1.89231857155005e-08
"MRPL24",1234,157,1.87847779643775e-08
"PABPC1",1234,158,1.87077259654729e-08
"CLIC1",1234,159,1.86863972712934e-08
"MALL",1234,160,1.86670218350912e-08
"LSM4",1234,161,1.86118751119453e-08
"HNRNPA3",1234,162,1.85042798647e-08
"HMGN1",1234,163,1.8346789510632e-08
"SRM",1234,164,1.83351605022143e-08
"BIRC3",1234,165,1.83297275511565e-08
"DKC1",1234,166,1.82745120131375e-08
"TSPAN1",1234,167,1.82725461893762e-08
"IL1R2",1234,168,1.82657514849673e-08
"HSD17B10",1234,169,1.82577822075603e-08
"MRPS12",1234,170,1.81636797776533e-08
"ERH",1234,171,1.80428897676975e-08
"SET",1234,172,1.80304137218902e-08
"SNRPD2",1234,173,1.80239206665338e-08
"APEX1",1234,174,1.80181046559701e-08
"DTYMK",1234,175,1.79873259491891e-08
"MRPS7",1234,176,1.79339897084009e-08
"PSMA5",1234,177,1.79131125114767e-08
"AIMP2",1234,178,1.78817831001389e-08
"SLC12A2",1234,179,1.78741715374339e-08
"CEACAM5",1234,180,1.78711889424461e-08
"SEC13",1234,181,1.78700616955345e-08
"MRPL20",1234,182,1.78540572767318e-08
"CRELD2",1234,183,1.77820658441084e-08
"EMP1",1234,184,1.77435731530101e-08
"DHRS9",1234,185,1.76459106573135e-08
"CDHR5",1234,186,1.76080880751299e-08
"EIF3E",1234,187,1.74910744993934e-08
"SLC26A3",1234,188,1.747731362066e-08
"STMN1",1234,189,1.74560648984414e-08
"TRAP1",1234,190,1.73109977089641e-08
"BLVRB",1234,191,1.72614439892275e-08
"SLCO2A1",1234,192,1.72351407368283e-08
"MRPL11",1234,193,1.7229990386677e-08
"NDUFS8",1234,194,1.71972551370477e-08
"SARS",1234,195,1.71498823745751e-08
"DEK",1234,196,1.71143447923295e-08
"TXNDC17",1234,197,1.71098231659415e-08
"GGCT",1234,198,1.70722761614643e-08
"NDUFAF3",1234,199,1.70549197887284e-08
"GCNT3",1234,200,1.70525298506854e-08
"STOML2",1234,201,1.70261722547637e-08
"RHOF",1234,202,1.6948456213273e-08
"HNRNPD",1234,203,1.68859100643649e-08
"MRPL27",1234,204,1.68206803082169e-08
"SPCS1",1234,205,1.67651411002773e-08
"SNRNP25",1234,206,1.67348089238314e-08
"SHMT2",1234,207,1.67036078585638e-08
"EEF2",1234,208,1.6676795381386e-08
"MS4A12",1234,209,1.66692664308633e-08
"BCL7C",1234,210,1.6633583895215e-08
"SSB",1234,211,1.66073908697015e-08
"MRTO4",1234,212,1.66056591055737e-08
"CDC37",1234,213,1.66025071857122e-08
"POLR3K",1234,214,1.65740650741408e-08
"HNRNPA0",1234,215,1.6548987611552e-08
"ORMDL2",1234,216,1.65370259061483e-08
"CHCHD10",1234,217,1.65233645300273e-08
"ISG20",1234,218,1.65225541410805e-08
"GLTSCR2",1234,219,1.65209405862601e-08
"TUBB4B",1234,220,1.65175563686957e-08
"HMGN2",1234,221,1.65009938842525e-08
"PLAUR",1234,222,1.6499273382362e-08
"SEPW1",1234,223,1.64936725656356e-08
"POLR2G",1234,224,1.64602679421584e-08
"EXOSC8",1234,225,1.64159285616669e-08
"ERRFI1",1234,226,1.6415861080317e-08
"TM4SF1",1234,227,1.63402305968155e-08
"STARD10",1234,228,1.6288055017528e-08
"CFL1",1234,229,1.62312651402301e-08
"AP1S1",1234,230,1.61333471757613e-08
"SLC51B",1234,231,1.61266804054226e-08
"PSMB5",1234,232,1.61020382206162e-08
"ZBP1",1234,233,1.6061239647292e-08
"SERBP1",1234,234,1.60507125435163e-08
"PEBP1",1234,235,1.59871919313459e-08
"GSTO1",1234,236,1.59759013257521e-08
"PARP1",1234,237,1.59211831348593e-08
"MRPL54",1234,238,1.58992580868134e-08
"LSM2",1234,239,1.58643173784622e-08
"YARS",1234,240,1.58538135203306e-08
"SNHG6",1234,241,1.58307753908744e-08
"NME4",1234,242,1.58243812388851e-08
"CCT8",1234,243,1.58092418467494e-08
"TNIP3",1234,244,1.57613645422546e-08
"CASP5",1234,245,1.57559754638418e-08
"CTD-2228K2.5",1234,246,1.57477907535543e-08
"TMEM208",1234,247,1.57408599205368e-08
"HSPA5",1234,248,1.57250847439704e-08
"SLC6A8",1234,249,1.56897031939107e-08
"ADM",1234,250,1.56487100794619e-08
"ID3",1234,251,1.56463494185884e-08
"DUOXA2",1234,252,1.55667473884566e-08
"PKIB",1234,253,1.55264312349508e-08
"NACA",1234,254,1.54750308510274e-08
"ANXA3",1234,255,1.54660542155662e-08
"PCBD1",1234,256,1.54613725140022e-08
"HSP90B1",1234,257,1.54481891909353e-08
"HHLA2",1234,258,1.54474619000561e-08
"SLC25A6",1234,259,1.54456267358358e-08
"PFDN2",1234,260,1.5418122532431e-08
"COMT",1234,261,1.53576830546563e-08
"EGLN3",1234,262,1.53479152044835e-08
"CDKN1A",1234,263,1.52574953589296e-08
"RNASE1",1234,264,1.52281496764768e-08
"FDPS",1234,265,1.52071355997666e-08
"PITX1",1234,266,1.5200428233981e-08
"DAD1",1234,267,1.51888797112414e-08
"SNRPC",1234,268,1.51819248878086e-08
"SSRP1",1234,269,1.51731625633034e-08
"CYC1",1234,270,1.51675146386089e-08
"EDF1",1234,271,1.51563598979945e-08
"TRIM31",1234,272,1.51365095907898e-08
"NOS2",1234,273,1.50882007329983e-08
"TMEM141",1234,274,1.50593831646227e-08
"SLC25A39",1234,275,1.50268431247006e-08
"S100P",1234,276,1.50222577043226e-08
"LAD1",1234,277,1.50187219891125e-08
"RUVBL2",1234,278,1.49629848741431e-08
"HMGB1",1234,279,1.49612301550996e-08
"CACYBP",1234,280,1.49464885469917e-08
"ATP5D",1234,281,1.4872915385504e-08
"PSMG1",1234,282,1.48452794610292e-08
"ASL",1234,283,1.48064100454671e-08
"PHGR1",1234,284,1.48041499099748e-08
"PSMG3",1234,285,1.47945520285764e-08
"HIST1H1C",1234,286,1.47429312329613e-08
"TYMS",1234,287,1.4733818465819e-08
"MRPL3",1234,288,1.46850245758312e-08
"LMO7",1234,289,1.45872155322537e-08
"ASCL2",1234,290,1.45740832164553e-08
"FAM162A",1234,291,1.45633466566031e-08
"OLFM4",1234,292,1.45619152671931e-08
"ZNHIT1",1234,293,1.45507321237256e-08
"PDZK1IP1",1234,294,1.45023738761167e-08
"CENPM",1234,295,1.44958061466501e-08
"NGFRAP1",1234,296,1.4455727977424e-08
"WDR34",1234,297,1.44404437876009e-08
"FKBP2",1234,298,1.44399616296691e-08
"EIF3K",1234,299,1.44062482278015e-08
"WBSCR22",1234,300,1.43328789277219e-08
"MYL6",1234,301,1.433166802642e-08
"S100A16",1234,302,1.43283466991446e-08
"SRSF2",1234,303,1.429357815115e-08
"MRPS23",1234,304,1.42764640129203e-08
"TSTA3",1234,305,1.4267917787071e-08
"HSPA8",1234,306,1.42631033004294e-08
"GBP3",1234,307,1.42032836515725e-08
"FGFBP1",1234,308,1.41571866015729e-08
"COA4",1234,309,1.41074229280567e-08
"TSPO",1234,310,1.4086889558799e-08
