seed,gene,distance,p_value,p_adj,rank,top_100,top_5_percent
1234,GART,1.1172821956789117e-5,0,0,1,TRUE,TRUE
1234,AGR2,7.662917849899116e-8,1.5735866992268435e-20,2.755350310346203e-17,2,TRUE,TRUE
1234,NME1,7.123729301771283e-8,5.904921177318013e-18,6.893011320989228e-15,3,TRUE,TRUE
1234,SLC1A5,6.393821719205767e-8,9.212143470538424e-15,8.06523160845639e-12,4,TRUE,TRUE
1234,ASNS,6.333855942948894e-8,1.6285478067192388e-14,1.1406348838261548e-11,5,TRUE,TRUE
1234,PSAT1,6.31343282645027e-8,1.9749575623513408e-14,1.1527168972257324e-11,6,TRUE,TRUE
1234,EIF4EBP1,6.23499091350957e-8,4.1192737288758096e-14,2.060813799789012e-11,7,TRUE,TRUE
1234,C19orf10,5.0664775489619866e-8,8.207295263768946e-10,3.5927435017148565e-7,8,TRUE,TRUE
1234,REG4,4.5725558350382464e-8,2.986883223559747e-8,1.1622294498784705e-5,9,TRUE,TRUE
1234,TUBA4A,4.5478834042141523e-8,3.5417573682037764e-8,1.2403234303449624e-5,10,TRUE,TRUE
1234,C1QBP,4.187564953485546e-8,3.863310639875505e-7,1.2299376237130924e-4,11,TRUE,TRUE
1234,LDHB,4.0991856640724356e-8,6.748962940238746e-7,1.969572351393007e-4,12,TRUE,TRUE
1234,RANBP1,4.053214552465165e-8,8.981602247256932e-7,2.27745946175083e-4,13,TRUE,TRUE
1234,RRP7A,4.051013935130969e-8,9.104635198318568e-7,2.27745946175083e-4,14,TRUE,TRUE
1234,EBNA1BP2,3.9930953417064224e-8,1.299280208634876e-6,2.7165923442437476e-4,15,TRUE,TRUE
1234,TUBA1B,3.9909997522429316e-8,1.3159881491901615e-6,2.7165923442437476e-4,16,TRUE,TRUE
1234,SDF2L1,3.9906577866676755e-8,1.3187341476911396e-6,2.7165923442437476e-4,17,TRUE,TRUE
1234,PPIB,3.854465948358781e-8,2.985176879739096e-6,5.807827462692396e-4,18,TRUE,TRUE
1234,PYCR1,3.749469652050643e-8,5.504608300564703e-6,0.00101458622466197,19,TRUE,TRUE
1234,NPM3,3.666603378058429e-8,8.824547701095535e-6,0.00154517830246182,20,TRUE,TRUE
1234,FABP5,3.5643440481955876e-8,1.5589317751528617e-5,0.00259970432218348,21,TRUE,TRUE
1234,CDK4,3.5544415374874045e-8,1.6459593477516266e-5,0.00262006801628463,22,TRUE,TRUE
1234,KLK1,3.48373029075453e-8,2.4162466942395533e-5,0.00367899822748996,23,TRUE,TRUE
1234,GARS,3.4416098974189434e-8,3.026920189888507e-5,0.00433876149350338,24,TRUE,TRUE
1234,NHP2,3.437284224674349e-8,3.0973454408219463e-5,0.00433876149350338,25,TRUE,TRUE
1234,DUOX2,3.3932025458925283e-8,3.909584664318347e-5,0.00526590980555494,26,TRUE,TRUE
1234,NOP16,3.3790362549257313e-8,4.210970885890926e-5,0.0052855342016289,27,TRUE,TRUE
1234,NPM1,3.3783547163697546e-8,4.226012497019114e-5,0.0052855342016289,28,TRUE,TRUE
1234,RAN,3.3542575717949465e-8,4.791820479097123e-5,0.00578653631648211,29,TRUE,TRUE
1234,PARK7,3.3351651793571925e-8,5.2903643790052706e-5,0.00598274747670415,30,TRUE,TRUE
1234,MCM7,3.334960045142805e-8,5.295978634432579e-5,0.00598274747670415,31,TRUE,TRUE
1234,CD320,3.3238163118012526e-8,5.609595296508618e-5,0.00613900085261661,32,TRUE,TRUE
1234,EIF3I,3.265624563607076e-8,7.553977371424451e-5,0.0080163723499177,33,TRUE,TRUE
1234,PRMT1,3.2395322686498515e-8,8.619029158489855e-5,0.00887760003324455,34,TRUE,TRUE
1234,SNRPB,3.22094861870562e-8,9.462469452800812e-5,0.00930857856935939,35,TRUE,TRUE
1234,MANF,3.2171719568713463e-8,9.643148202357124e-5,0.00930857856935939,36,TRUE,TRUE
1234,EMG1,3.2105857723624026e-8,9.966054800106411e-5,0.00930857856935939,37,TRUE,TRUE
1234,MUC2,3.2078991126169785e-8,1.0100684912497346e-4,0.00930857856935939,38,TRUE,TRUE
1234,FBL,3.0228982043624764e-8,2.483760672272814e-4,0.02230289711358819,39,TRUE,TRUE
1234,HSPD1,3.0107738569500924e-8,2.630242885616277e-4,0.0230277764635705,40,TRUE,TRUE
1234,GADD45GIP1,2.9929294941606833e-8,2.860627194213292e-4,0.02443394252228036,41,TRUE,TRUE
1234,PFN1,2.9802635606951945e-8,3.035482950533594e-4,0.02531014593516344,42,TRUE,TRUE
1234,TMED9,2.9739762554505424e-8,3.1259514304989396e-4,0.02545833002234253,43,TRUE,TRUE
1234,CEACAM1,2.9532286780949357e-8,3.4427192846989564e-4,0.02740091576139942,44,TRUE,TRUE
1234,SF3B5,2.9280884606790573e-8,3.86677030502905e-4,0.03009206579602607,45,TRUE,TRUE
1234,CHCHD2,2.880012938184639e-8,4.816787757270867e-4,0.03607932069937095,46,TRUE,TRUE
1234,CEACAM6,2.878854133685241e-8,4.842170396546073e-4,0.03607932069937095,47,TRUE,TRUE
1234,PLAC8,2.8667018380180353e-8,5.115975248502896e-4,0.03671825139822827,48,TRUE,TRUE
1234,CEACAM7,2.8657672466547017e-8,5.137619413230111e-4,0.03671825139822827,49,TRUE,TRUE
1234,PHB,2.8588856373140442e-8,5.299637909789135e-4,0.0371186639201631,50,TRUE,TRUE
1234,SLC38A5,2.8385369415306386e-8,5.807005191637535e-4,0.03987476898257774,51,TRUE,TRUE
1234,SNRPD1,2.7975824050932123e-8,6.968061821243357e-4,0.0469272163422966,52,TRUE,TRUE
1234,PCNA,2.7907897990899258e-8,7.180321379811423e-4,0.04744431221150868,53,TRUE,TRUE
1234,GSTP1,2.7213656506061817e-8,9.721895486047716e-4,0.06304829257803536,54,TRUE,TRUE
1234,MXD1,2.6874586338419373e-8,0.00112455182056496,0.07081423661961585,55,TRUE,TRUE
1234,PAICS,2.6858336252820686e-8,0.00113238071122172,0.07081423661961585,56,TRUE,TRUE
1234,POLD2,2.6579237399669593e-8,0.00127495526812455,0.07689792718342119,57,TRUE,TRUE
1234,GINS2,2.6515456120287833e-8,0.00130978278477143,0.07689792718342119,58,TRUE,TRUE
1234,IMPDH2,2.6513828569871862e-8,0.00131068288228333,0.07689792718342119,59,TRUE,TRUE
1234,PRDX2,2.6501540096562693e-8,0.00131749732467312,0.07689792718342119,60,TRUE,TRUE
1234,PSMB3,2.6278205543381513e-8,0.00144718261125257,0.08298369384546068,61,TRUE,TRUE
1234,TOMM40,2.6242203327180468e-8,0.00146915734392306,0.08298369384546068,62,TRUE,TRUE
1234,NAP1L1,2.6013312524323658e-8,0.00161621240689529,0.08903843885297855,63,TRUE,TRUE
1234,H2AFZ,2.5996987661342937e-8,0.00162720162381228,0.08903843885297855,64,TRUE,TRUE
1234,U2AF1,2.5949366579790304e-8,0.00165965222821901,0.08941695543420003,65,TRUE,TRUE
1234,HK2,2.5631171020026388e-8,0.00189222125195783,0.10040240642964122,66,TRUE,TRUE
1234,SPDEF,2.5484566824065285e-8,0.00200914032936746,0.10501506617081896,67,TRUE,TRUE
1234,TIMM13,2.5369941040024146e-8,0.00210513473856138,0.10841443903591153,68,TRUE,TRUE
1234,SRSF7,2.5084818175000297e-8,0.00236243755489744,0.11824743014455567,69,TRUE,TRUE
1234,PSMA7,2.508359804916249e-8,0.00236359797547655,0.11824743014455567,70,TRUE,TRUE
1234,PSMB6,2.4871383409608677e-8,0.00257355321861021,0.1269377939658164,71,TRUE,TRUE
1234,KRT18,2.468733658672745e-8,0.00276930382631939,0.13469586110792375,72,TRUE,TRUE
1234,FAM96B,2.4598548261509897e-8,0.00286852006757692,0.13722941348695342,73,TRUE,TRUE
1234,FABP2,2.457116757209977e-8,0.00289976487665178,0.13722941348695342,74,TRUE,TRUE
