gart_threshold,min_cells,expression_threshold,result_type,source,interaction_name,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,direction
1,10,0.05,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0104977783580785,0.00994584032455107,0.00654338797983888,0.0115882768163526,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00914713541666667,positive
1,10,0.05,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105816034037669,0.0103596207328397,0.00635863428520573,0.0122148395707194,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,,0.0123609938063063,positive
1,10,0.05,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00621278569840057,0.00613702198301029,0.00274019355032946,0.00891253607939833,0.0048828125,0.916666666666667,12,exact Wilcoxon signed-rank,,0.0189251077586207,positive
1,10,0.05,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0129037238448669,0.0134383648416849,0.00732916460562047,0.0185894311953459,0.00683593750000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.0256119791666667,positive
1,10,0.05,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0071027087266423,0.00721584263840366,0.00413170409315592,0.00993700386616713,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,,0.0123609938063063,positive
1,10,0.1,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0104977783580785,0.0102571061619709,0.00659713691041491,0.0132454214850463,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00503305288461539,positive
1,10,0.1,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105816034037669,0.0105836276300689,0.00713495705742121,0.0131497510399347,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00503305288461539,positive
1,10,0.1,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00637891012424338,0.00644107806028212,0.00388629241430744,0.00981773945786331,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00503305288461539,positive
1,10,0.1,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0132354064732892,0.0141101009125337,0.0092791218727106,0.0195082752842805,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00503305288461539,positive
1,10,0.1,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.007549399411545,0.00764775237651348,0.00485549081184312,0.0100617891254499,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.00503305288461539,positive
1,10,0.2,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0090012487905426,0.00897437432525458,0.00507504760975035,0.013239379755851,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.00656960227272727,positive
1,10,0.2,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00930908201137308,0.00947174037232328,0.00534366388471528,0.0129158784228623,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.00656960227272727,positive
1,10,0.2,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0036573743291564,0.00468863704100316,0.00159667718803699,0.013241971796421,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,,0.0513888888888889,positive
1,10,0.2,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0117280402576445,0.0126582563433401,0.00725611201738799,0.0185894311953459,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,,0.0045166015625,positive
1,10,0.2,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00595176339437418,,,,,0.8,5,not estimable: <6 paired donors,,,not estimable
1,20,0.05,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105174238160977,0.0102732823431189,0.00419302503028723,0.0120067323615765,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,,0.012890625,positive
