gart_threshold,min_cells,expression_threshold,source,interaction_name,omitted_donor,median_difference,positive_direction,n
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0104781329000592,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0104781329000592,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0104781329000592,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0104781329000592,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N52,0.0104781329000592,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N539,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0090012487905426,TRUE,11
1,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0104781329000592,TRUE,11
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0140060868518101,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N111,0.012394455102441,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N23,0.012394455102441,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N24,0.012394455102441,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0140060868518101,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0140060868518101,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0140060868518101,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N539,0.012394455102441,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0140060868518101,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N661,0.012394455102441,TRUE,10
2,10,0.05,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0137347233856683,TRUE,10
1,20,0.05,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0104977783580785,TRUE,10
1,20,0.05,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00787699748370669,TRUE,10
1,20,0.05,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00787699748370669,TRUE,10
1,20,0.05,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00787699748370669,TRUE,10
1,20,0.05,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0104977783580785,TRUE,10
