gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,10,0.05,Endothelial,,pathway,BMP,,,0.000148739984564602,,,,,0.666666666666667,3,not estimable: <6 paired donors,"",,,
1,10,0.05,Endothelial,,pathway,MIF,,,0.0104977783580785,0.010037232534875,0.00654338797983889,0.0115991696855833,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00604717548076924,,
1,10,0.05,Endothelial,,pathway,MK,,,0.0148306721901659,0.0147213760760762,0.0101149353527214,0.0206696994260091,0.00048828125,1,12,exact Wilcoxon signed-rank,"",0.00341796875,,
1,10,0.05,Endothelial,,pathway,TRAIL,,,0.00192651823114593,0.00257488796087961,0.00031913085380429,0.00558136653740352,0.01220703125,0.833333333333333,12,exact Wilcoxon signed-rank,"",0.0262044270833334,,
1,10,0.05,Endothelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00973969084530091,0.00814270861480092,0.00493354411113067,0.0128995772995115,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00661238704819278,1,12
1,10,0.05,Endothelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.000790822417850799,0.000900515241263411,-0.00478358831977879,0.00673087029422238,0.578125,0.571428571428571,7,exact Wilcoxon signed-rank,"",0.610726033834587,1,7
1,10,0.05,Endothelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0104977783580785,0.00994584032455107,0.00654338797983888,0.0115882768163526,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00914713541666667,1,12
1,10,0.05,Fibroblast,,pathway,BMP,,,0.00294838830047084,0.00247002802888435,0.000708660646334953,0.00412333611232933,0.01611328125,0.75,12,exact Wilcoxon signed-rank,"",0.0308837890625,,
1,10,0.05,Fibroblast,,pathway,MIF,,,0.0105816034037669,0.0105677035443292,0.00701949390342435,0.0129496421157884,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00770718443627452,,
1,10,0.05,Fibroblast,,pathway,MK,,,0.0208413902946556,0.0233073036399028,0.015209944359564,0.0300124311954128,0.00048828125,1,12,exact Wilcoxon signed-rank,"",0.00341796875,,
1,10,0.05,Fibroblast,,pathway,TRAIL,,,0.000499201578736536,0.00130235679420313,0.000146919062471194,0.00325861319100873,0.01220703125,0.833333333333333,12,exact Wilcoxon signed-rank,"",0.0262044270833334,,
1,10,0.05,Fibroblast,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0092549684524886,0.00854233589928184,0.00480068203832583,0.0124353306732367,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00661238704819278,1,12
