donor_id,source,interaction_name,cohort,condition,pathway_name,ligand,receptor,detected_score,undetected_score,difference,gart_threshold,min_cells,expression_threshold,result_type,sender,paired_P,BH_FDR,positive_donor_n,paired_donor_n
SCP259_N106,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.068822750285237,0.069190078881834,-0.000367328596597022,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N106,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0921202829672459,0.0925995923663645,-0.000479309399118597,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N106,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0653640691057399,0.0657142403843647,-0.000350171278624842,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N106,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0630616842896055,0.0634003578283089,-0.000338673538703371,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N111,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0725838138662279,0.0572627921672641,0.0153210216989639,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N111,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0782707713077864,0.06182937339052,0.0164413979172664,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N111,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0621854888671027,0.0489435170706817,0.013241971796421,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N111,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0465863500814054,0.0365366949190158,0.0100496551623896,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N23,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.095225028816822,0.0740221313724741,0.0212028974443479,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N23,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0645523515576356,0.0498031280436746,0.014749223513961,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
