source,ligand_complex,receptor_complex,detected_score,undetected_score,difference,method,donor_id,gart_threshold,expression_threshold,resource,n_Myeloid,n_Fibroblast,n_Endothelial,n_Other epithelial,n_T/NK,n_GART-undetected ISC-like,n_GART-detected ISC-like,sender_cells,paired_P,BH_FDR,positive_donor_n,paired_donor_n
Endothelial,MIF,CD74_FAMILY,1.83240058172349,1.82555258166624,0.0068480000572559,LIANA consensus,SCP259_N106,1,0.1,consensus,682,488,75,1398,2198,292,121,75,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,2.04375950296202,2.03585395963544,0.0079055433265757,LIANA consensus,SCP259_N106,1,0.1,consensus,682,488,75,1398,2198,292,121,488,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,1.80234477461419,1.79738303063011,0.0049617439840803,LIANA consensus,SCP259_N106,1,0.1,consensus,682,488,75,1398,2198,292,121,682,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,1.78364347911322,1.77943581472313,0.0042076643900865,LIANA consensus,SCP259_N106,1,0.1,consensus,682,488,75,1398,2198,292,121,2198,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,2.37177081270774,1.89355151452012,0.47821929818762,LIANA consensus,SCP259_N111,1,0.1,consensus,1115,1790,383,2767,7929,210,138,383,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,2.41789573982475,1.93871247059118,0.479183269233572,LIANA consensus,SCP259_N111,1,0.1,consensus,1115,1790,383,2767,7929,210,138,1790,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,2.27591870715479,1.81810444039557,0.45781426675922,LIANA consensus,SCP259_N111,1,0.1,consensus,1115,1790,383,2767,7929,210,138,1115,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,2.11970605074763,1.71503517969547,0.404670871052158,LIANA consensus,SCP259_N111,1,0.1,consensus,1115,1790,383,2767,7929,210,138,7929,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,2.20351370472595,1.76443120421715,0.439082500508802,LIANA consensus,SCP259_N23,1,0.1,consensus,380,240,66,5576,2332,828,258,66,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,1.91633448072706,1.49667563097669,0.419658849750373,LIANA consensus,SCP259_N23,1,0.1,consensus,380,240,66,5576,2332,828,258,240,0.0009765625,0.0101961525537634,11,11
