"Receptor","TF","TG","score","max_pred_label"
"CD74","MYBL2","RAN",0.168748828842855,0.9575703
"CD74","MYBL2","IMPDH2",0.113255234480541,0.97335994
"NCL","MYBL2","RAN",0.111433569219249,0.97627443
"CD74","MYBL2","PCNA",0.0917963689131746,0.9706553
"CD74","MYBL2","CDK4",0.0817046836492664,0.9793563
"CD74","MYBL2","MCM7",0.0775587253044479,0.9792415
"CD74","MYBL2","PAICS",0.0759586113466786,0.97822213
"NCL","MYBL2","IMPDH2",0.0747882792432951,0.99237245
"CD44","MYBL2","RAN",0.0694707035561236,0.9765649
"ITGA6","MYBL2","RAN",0.0679817451221401,0.9504116
"ITGB1","MYBL2","RAN",0.0656886315448866,0.97217494
"NCL","MYBL2","PCNA",0.0606178834707509,0.989615
"CD74","MYBL2","TYMS",0.0583866788267296,0.975162
"SDC1","MYBL2","RAN",0.056728416979497,0.9746163
"NCL","MYBL2","CDK4",0.053953824874626,0.998486
"CD74","MYBL2","GINS2",0.0538476718785558,0.9787212
"NCL","MYBL2","MCM7",0.0512160313725843,0.9983689
"NCL","MYBL2","PAICS",0.05015939506842,0.99732965
"CD44","MYBL2","IMPDH2",0.0466250373454838,0.9926677
"CD74","MYBL2","FEN1",0.0462999902008097,0.96949273
"ITGA6","MYBL2","IMPDH2",0.0456257285578887,0.96608317
"ITGB1","MYBL2","IMPDH2",0.0440867140821098,0.9882054
"CD74","MYBL2","MKI67",0.0386978504458971,0.97271764
"NCL","MYBL2","TYMS",0.0385557411662173,0.99420977
"SDC1","MYBL2","IMPDH2",0.0380730923087263,0.99068695
"CD44","MYBL2","PCNA",0.0377908279839806,0.9899094
"ITGA6","MYBL2","PCNA",0.0369808621310876,0.96339875
"ITGB1","MYBL2","PCNA",0.0357334497586016,0.9854595
"NCL","MYBL2","GINS2",0.0355583984859364,0.99783844
"CD44","MYBL2","CDK4",0.0336362723093706,0.998783
"ITGA6","MYBL2","CDK4",0.0329153502609313,0.9720347
"CD44","MYBL2","MCM7",0.0319294589761056,0.9986659
"ITGB1","MYBL2","CDK4",0.031805072755024,0.9942932
"CD44","MYBL2","PAICS",0.0312707239304389,0.99762636
"ITGA6","MYBL2","MCM7",0.0312451209020296,0.9719208
"SDC1","MYBL2","PCNA",0.0308592514102567,0.9879342
"ITGA6","MYBL2","PAICS",0.0306005031478237,0.97090906
"NCL","MYBL2","FEN1",0.0305742772441309,0.9884298
"ITGB1","MYBL2","MCM7",0.0301911826497059,0.9941767
"ITGB1","MYBL2","PAICS",0.0295683089139795,0.9931418
"SDC1","MYBL2","CDK4",0.0274667212400987,0.99679005
"SDC1","MYBL2","MCM7",0.0260729713256175,0.9966732
"NCL","MYBL2","MKI67",0.0255541897333128,0.99171764
"SDC1","MYBL2","PAICS",0.0255350615827943,0.99563575
"CD44","MYBL2","TYMS",0.0240366909025244,0.9945055
"ITGA6","MYBL2","TYMS",0.0235215175497902,0.96787184
"ITGB1","MYBL2","TYMS",0.0227281058706094,0.990035
"CD44","MYBL2","GINS2",0.0221680669394421,0.99813527
"ITGA6","MYBL2","GINS2",0.0216929433711749,0.9714044
"ITGB1","MYBL2","GINS2",0.0209612108123047,0.9936484
"SDC1","MYBL2","TYMS",0.0196278927364108,0.99252117
"CD44","MYBL2","FEN1",0.0190608304101378,0.9887238
"ITGA6","MYBL2","FEN1",0.0186523021078493,0.9622449
"SDC1","MYBL2","GINS2",0.0181020098269786,0.99614364
"ITGB1","MYBL2","FEN1",0.0180231352866239,0.9842792
"CD44","MYBL2","MKI67",0.015931173554091,0.9920127
"ITGA6","MYBL2","MKI67",0.0155897224521982,0.9654457
"SDC1","MYBL2","FEN1",0.0155647014292798,0.98675096
"ITGB1","MYBL2","MKI67",0.0150638605754439,0.9875533
"SDC1","MYBL2","MKI67",0.0130090844710114,0.99003327
