method,source,omitted_donor,median_difference,positive_direction,n
CellPhoneDB,Endothelial,SCP259_N106,0.21010947227478,TRUE,10
CellPhoneDB,Endothelial,SCP259_N111,0.195954024791717,TRUE,10
CellPhoneDB,Endothelial,SCP259_N23,0.195954024791717,TRUE,10
CellPhoneDB,Endothelial,SCP259_N24,0.195954024791717,TRUE,10
CellPhoneDB,Endothelial,SCP259_N44,0.207989394664764,TRUE,10
CellPhoneDB,Endothelial,SCP259_N49,0.21010947227478,TRUE,10
CellPhoneDB,Endothelial,SCP259_N50,0.21010947227478,TRUE,10
CellPhoneDB,Endothelial,SCP259_N539,0.195954024791717,TRUE,10
CellPhoneDB,Endothelial,SCP259_N58,0.195954024791717,TRUE,10
CellPhoneDB,Endothelial,SCP259_N661,0.21010947227478,TRUE,10
CellPhoneDB,Endothelial,SCP259_N9,0.21010947227478,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N106,0.21010947227478,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N111,0.195953845977783,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N23,0.195953845977783,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N24,0.195953845977783,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N44,0.20798921585083,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N49,0.21010947227478,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N50,0.21010947227478,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N539,0.195953845977783,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N58,0.195953845977783,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N661,0.21010947227478,TRUE,10
CellPhoneDB,Fibroblast,SCP259_N9,0.21010947227478,TRUE,10
CellPhoneDB,Myeloid,SCP259_N106,0.210109531879425,TRUE,10
CellPhoneDB,Myeloid,SCP259_N111,0.195954024791717,TRUE,10
CellPhoneDB,Myeloid,SCP259_N23,0.195954024791717,TRUE,10
CellPhoneDB,Myeloid,SCP259_N24,0.195954024791717,TRUE,10
CellPhoneDB,Myeloid,SCP259_N44,0.207989454269409,TRUE,10
CellPhoneDB,Myeloid,SCP259_N49,0.210109531879425,TRUE,10
CellPhoneDB,Myeloid,SCP259_N50,0.210109531879425,TRUE,10
CellPhoneDB,Myeloid,SCP259_N539,0.195954024791717,TRUE,10
CellPhoneDB,Myeloid,SCP259_N58,0.195954024791717,TRUE,10
CellPhoneDB,Myeloid,SCP259_N661,0.210109531879425,TRUE,10
CellPhoneDB,Myeloid,SCP259_N9,0.210109531879425,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N106,0.21010947227478,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N111,0.195954084396362,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N23,0.195954084396362,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N24,0.195954084396362,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N44,0.207989454269409,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N49,0.21010947227478,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N50,0.21010947227478,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N539,0.195954084396362,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N58,0.195954084396362,TRUE,10
CellPhoneDB,Other epithelial,SCP259_N661,0.21010947227478,TRUE,10
