gart_threshold,min_cells,expression_threshold,resource,method,source,ligand_complex,receptor_complex,median_difference,P,positive_donor_fraction,n_paired_donors,test,median_rank,rank_IQR,FDR,median_rank_family,rank_IQR_family,rank_consistency_positive,direction
1,10,0.05,consensus,CellPhoneDB,Endothelial,MIF,CD74_FAMILY,0.195954024791717,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,24.75,87,0.916666666666667,positive
1,10,0.05,consensus,CellPhoneDB,Fibroblast,MIF,CD74_FAMILY,0.195953845977783,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,29.5,85.25,0.916666666666667,positive
1,10,0.05,consensus,CellPhoneDB,Myeloid,MIF,CD74_FAMILY,0.195954024791717,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,10.25,54.5,0.916666666666667,positive
1,10,0.05,consensus,CellPhoneDB,Other epithelial,MIF,CD74_FAMILY,0.195954084396362,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,16.75,50.5,0.916666666666667,positive
1,10,0.05,consensus,CellPhoneDB,T/NK,MIF,CD74_FAMILY,0.195954024791717,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,4.75,22,0.916666666666667,positive
1,10,0.05,consensus,Connectome,Endothelial,MIF,CD74_FAMILY,0.0981782546859131,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00955636160714286,126,151,0.916666666666667,positive
1,10,0.05,consensus,Connectome,Fibroblast,MIF,CD74_FAMILY,0.0981782546859132,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00955636160714286,151.5,206.125,0.916666666666667,positive
1,10,0.05,consensus,Connectome,Myeloid,MIF,CD74_FAMILY,0.0981782546859131,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00955636160714286,83.5,110.125,0.916666666666667,positive
1,10,0.05,consensus,Connectome,Other epithelial,MIF,CD74_FAMILY,0.0981782546859131,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00955636160714286,96.5,105.75,0.916666666666667,positive
1,10,0.05,consensus,Connectome,T/NK,MIF,CD74_FAMILY,0.0981782546859131,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00955636160714286,47.5,67.25,0.916666666666667,positive
1,10,0.05,consensus,GeometricMean,Endothelial,MIF,CD74_FAMILY,0.164100527763367,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0096714984939759,47,69.875,0.916666666666667,positive
1,10,0.05,consensus,GeometricMean,Fibroblast,MIF,CD74_FAMILY,0.168087303638458,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0096714984939759,66.75,100,0.916666666666667,positive
1,10,0.05,consensus,GeometricMean,Myeloid,MIF,CD74_FAMILY,0.0998907089233398,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0096714984939759,51.5,57.625,0.916666666666667,positive
1,10,0.05,consensus,GeometricMean,Other epithelial,MIF,CD74_FAMILY,0.183618366718292,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0096714984939759,16.75,41.25,0.916666666666667,positive
1,10,0.05,consensus,GeometricMean,T/NK,MIF,CD74_FAMILY,0.131903409957886,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0096714984939759,29.25,26.625,0.916666666666667,positive
1,10,0.05,consensus,LIANA_consensus,Endothelial,MIF,CD74_FAMILY,0.246111458177727,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00938870614035088,45.75,70.625,0.916666666666667,positive
1,10,0.05,consensus,LIANA_consensus,Fibroblast,MIF,CD74_FAMILY,0.217560720055406,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00938870614035088,66,56.625,0.916666666666667,positive
1,10,0.05,consensus,LIANA_consensus,Myeloid,MIF,CD74_FAMILY,0.189900705730569,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00938870614035088,31.5,47.5,0.916666666666667,positive
1,10,0.05,consensus,LIANA_consensus,Other epithelial,MIF,CD74_FAMILY,0.195897477513087,0.00146484375,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0128780915775401,19.25,59.5,0.916666666666667,positive
1,10,0.05,consensus,LIANA_consensus,T/NK,MIF,CD74_FAMILY,0.224649755133735,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00938870614035088,12.75,15,0.916666666666667,positive
1,10,0.05,consensus,NATMI,Endothelial,MIF,CD74_FAMILY,0.516187906265259,0.0009765625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.00984950153374233,28,56.75,0.916666666666667,positive
1,10,0.05,consensus,NATMI,Fibroblast,MIF,CD74_FAMILY,0.534266889095306,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,,,0.0150889920112782,42,66.125,0.916666666666667,positive
