"gene","model","estimate","SE","CI_low","CI_high","P","FDR","n_cells","n_donors","random_effect_variance","isSingular","warning"
"MYBL2","Model 1: frozen SCP259 donor-paired pseudobulk",0.526792704014918,0.114443265758119,0.302483903129004,0.751101504900831,4.16267327732355e-06,0.000239919410070971,NA,11,NA,NA,"frozen result; not refit"
"MYBL2","Model 2: donor-aware cell-level adjusted",-0.0171884399464472,0.00541250401835892,-0.0277969478224306,-0.00657993207046366,0.00149480114961465,0.00401020321557123,9306,33,0.00045337068593698,FALSE,""
"MKI67","Model 1: frozen SCP259 donor-paired pseudobulk",0.277533870364795,0.0766472483290702,0.127305263639817,0.427762477089773,0.000293552605902669,0.00392766397350012,NA,11,NA,NA,"frozen result; not refit"
"MKI67","Model 2: donor-aware cell-level adjusted",-0.0182667238183845,0.0063104057413494,-0.0306351190714293,-0.00589832856533965,0.00379522525396381,0.00569283788094571,9306,33,0.00196188146239742,FALSE,""
"PCNA","Model 1: frozen SCP259 donor-paired pseudobulk",0.609294621200973,0.104603487481759,0.404271785736726,0.81431745666522,5.71802912327702e-09,5.50892830074415e-06,NA,11,NA,NA,"frozen result; not refit"
"PCNA","Model 2: donor-aware cell-level adjusted",0.00843049026415004,0.00910325588993891,-0.00941189128013023,0.0262728718084303,0.354396012780841,0.425275215337009,9306,33,0.00408512876563438,FALSE,""
"PAICS","Model 1: frozen SCP259 donor-paired pseudobulk",0.413703562278481,0.0880584445934266,0.241109010875365,0.586298113681597,2.62648574560911e-06,0.000170801311962887,NA,11,NA,NA,"frozen result; not refit"
"PAICS","Model 2: donor-aware cell-level adjusted",0.0436712251714208,0.00981896568739319,0.0244260524241302,0.0629163979187115,8.68188480462567e-06,5.2091308827754e-05,9306,33,0.00584222498711754,FALSE,""
"MCM7","Model 1: frozen SCP259 donor-paired pseudobulk",0.646849347409136,0.111156640413057,0.428982332199543,0.864716362618729,5.91088683396412e-09,5.50892830074415e-06,NA,11,NA,NA,"frozen result; not refit"
"MCM7","Model 2: donor-aware cell-level adjusted",0.02734024239992,0.00884947665656374,0.0099952681530551,0.044685216646785,0.00200510160778561,0.00401020321557123,9306,33,0.00231244779799444,FALSE,""
"GINS2","Model 1: frozen SCP259 donor-paired pseudobulk",0.736198355865582,0.110778823712931,0.519071861388237,0.953324850342928,3.01862118168926e-11,1.69631417305028e-07,NA,11,NA,NA,"frozen result; not refit"
"GINS2","Model 2: donor-aware cell-level adjusted",0.00530484222207245,0.00698700705738744,-0.00838969161040692,0.0189993760545518,0.447706692291095,0.447706692291095,9306,33,0.00147383560687923,FALSE,""
