"donor_id","cohort","condition","gart_threshold","group","n_cells"
"GSE214695_HC1","GSE214695","Healthy",1,"Myeloid",0
"GSE214695_HC1","GSE214695","Healthy",1,"Fibroblast",120
"GSE214695_HC1","GSE214695","Healthy",1,"Endothelial",14
"GSE214695_HC1","GSE214695","Healthy",1,"Other epithelial",256
"GSE214695_HC1","GSE214695","Healthy",1,"T/NK",630
"GSE214695_HC1","GSE214695","Healthy",1,"GART-undetected ISC-like",0
"GSE214695_HC1","GSE214695","Healthy",1,"GART-detected ISC-like",0
"GSE214695_HC1","GSE214695","Healthy",2,"Myeloid",0
"GSE214695_HC1","GSE214695","Healthy",2,"Fibroblast",120
"GSE214695_HC1","GSE214695","Healthy",2,"Endothelial",14
"GSE214695_HC1","GSE214695","Healthy",2,"Other epithelial",256
"GSE214695_HC1","GSE214695","Healthy",2,"T/NK",630
"GSE214695_HC1","GSE214695","Healthy",2,"GART-undetected ISC-like",0
"GSE214695_HC1","GSE214695","Healthy",2,"GART-detected ISC-like",0
"GSE214695_HC2","GSE214695","Healthy",1,"Myeloid",0
"GSE214695_HC2","GSE214695","Healthy",1,"Fibroblast",37
"GSE214695_HC2","GSE214695","Healthy",1,"Endothelial",1
"GSE214695_HC2","GSE214695","Healthy",1,"Other epithelial",975
"GSE214695_HC2","GSE214695","Healthy",1,"T/NK",505
"GSE214695_HC2","GSE214695","Healthy",1,"GART-undetected ISC-like",1
"GSE214695_HC2","GSE214695","Healthy",1,"GART-detected ISC-like",0
"GSE214695_HC2","GSE214695","Healthy",2,"Myeloid",0
"GSE214695_HC2","GSE214695","Healthy",2,"Fibroblast",37
"GSE214695_HC2","GSE214695","Healthy",2,"Endothelial",1
"GSE214695_HC2","GSE214695","Healthy",2,"Other epithelial",975
"GSE214695_HC2","GSE214695","Healthy",2,"T/NK",505
"GSE214695_HC2","GSE214695","Healthy",2,"GART-undetected ISC-like",1
"GSE214695_HC2","GSE214695","Healthy",2,"GART-detected ISC-like",0
"GSE214695_HC3","GSE214695","Healthy",1,"Myeloid",2
"GSE214695_HC3","GSE214695","Healthy",1,"Fibroblast",114
"GSE214695_HC3","GSE214695","Healthy",1,"Endothelial",11
"GSE214695_HC3","GSE214695","Healthy",1,"Other epithelial",1672
"GSE214695_HC3","GSE214695","Healthy",1,"T/NK",951
"GSE214695_HC3","GSE214695","Healthy",1,"GART-undetected ISC-like",2
"GSE214695_HC3","GSE214695","Healthy",1,"GART-detected ISC-like",1
"GSE214695_HC3","GSE214695","Healthy",2,"Myeloid",2
"GSE214695_HC3","GSE214695","Healthy",2,"Fibroblast",114
"GSE214695_HC3","GSE214695","Healthy",2,"Endothelial",11
"GSE214695_HC3","GSE214695","Healthy",2,"Other epithelial",1672
"GSE214695_HC3","GSE214695","Healthy",2,"T/NK",951
"GSE214695_HC3","GSE214695","Healthy",2,"GART-undetected ISC-like",2
"GSE214695_HC3","GSE214695","Healthy",2,"GART-detected ISC-like",0
"GSE214695_HC4","GSE214695","Healthy",1,"Myeloid",0
"GSE214695_HC4","GSE214695","Healthy",1,"Fibroblast",200
"GSE214695_HC4","GSE214695","Healthy",1,"Endothelial",12
"GSE214695_HC4","GSE214695","Healthy",1,"Other epithelial",1438
"GSE214695_HC4","GSE214695","Healthy",1,"T/NK",342
"GSE214695_HC4","GSE214695","Healthy",1,"GART-undetected ISC-like",0
"GSE214695_HC4","GSE214695","Healthy",1,"GART-detected ISC-like",1
"GSE214695_HC4","GSE214695","Healthy",2,"Myeloid",0
"GSE214695_HC4","GSE214695","Healthy",2,"Fibroblast",200
"GSE214695_HC4","GSE214695","Healthy",2,"Endothelial",12
"GSE214695_HC4","GSE214695","Healthy",2,"Other epithelial",1438
