Panel,Endpoint,HC_n,UC_n,Biological_unit,Pairing,Sidedness,Test,HC_summary,UC_summary,Effect_type,Effect_estimate,CI_lower,CI_upper,CI_note,Statistic_name,Statistic,df,P,P_display,Multiplicity_adjustment,Statistical_input,Revision_note
Fig. 7A,GART MFI in crypt/mucosal epithelial ROI,18,25,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 2.4947; IQR 2.1533–3.5796,median 11.8783; IQR 9.0243–16.2264,Hodges–Lehmann UC–HC location shift,9.249208331108097,6.43770861625672,11.56922626495361,Exact distribution-free interval; achieved coverage 0.9504,Mann–Whitney U (HC rank orientation),12.0,,8.94208776222217e-10,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7A,MIF-high area within mucosal ROI (%),18,25,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 0.9058; IQR 0.8441–1.0664,median 16.2945; IQR 12.1566–25.9498,Hodges–Lehmann UC–HC location shift,15.397844889591,12.30764958649605,22.611296607413347,Exact distribution-free interval; achieved coverage 0.9504,Mann–Whitney U (HC rank orientation),0.0,,3.2875322655228567e-12,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7A,CD74+ objects per mm²,18,25,participant,unpaired,two-sided,Two-sided Welch’s unpaired t test,mean 92.7183; SD 64.2032,mean 972.4566; SD 292.0598,UC–HC mean difference,879.7382867017387,755.9635918633442,1003.5129815401333,Welch–Satterthwaite 95% confidence interval,Welch t,14.57959985369476,27.15705806193513,2.3031185857964138e-14,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7A,CD74+ objects within 50 μm of GART+ regions (%),18,25,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 12.5874; IQR 7.1156–24.0152,median 22.3897; IQR 16.5234–81.3008,Hodges–Lehmann UC–HC location shift,10.970387918270655,0.31854937515310056,27.15733111772712,Exact distribution-free interval; achieved coverage 0.9504,Mann–Whitney U (HC rank orientation),144.0,,0.04671448092011745,0.0467,None,Original unrounded archived participant-level Prism values,
Fig. 7B,GART MFI in crypt/cellular ROI,20,20,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 12.6092; IQR 4.1633–16.2075,median 32.8198; IQR 26.9107–38.0355,Hodges–Lehmann UC–HC location shift,21.452863693237326,17.1189613342285,27.494577407836903,Exact distribution-free interval; achieved coverage 0.9509,Mann–Whitney U (HC rank orientation),4.0,,1.7410666924619626e-10,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7B,MYBL2 nuclear MFI,20,20,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 33.9328; IQR 11.1984–68.1103,median 238.7862; IQR 234.6816–243.0172,Hodges–Lehmann UC–HC location shift,194.0593852996827,165.3909793174547,224.0769902766841,Exact distribution-free interval; achieved coverage 0.9509,Mann–Whitney U (HC rank orientation),20.0,,3.9377125027848054e-08,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7B,Ki67+ cells (%),20,20,participant,unpaired,two-sided,Two-sided Welch’s unpaired t test,mean 5.2660; SD 1.9817,mean 63.9303; SD 17.0639,UC–HC mean difference,58.66432289506999,50.638765711524144,66.68988007861584,Welch–Satterthwaite 95% confidence interval,Welch t,15.272205060274231,19.512430919314536,2.596166034587991e-12,<0.0001,None,Original unrounded archived participant-level Prism values,Revised from the historical ordinary equal-variance unpaired t test to Welch's unpaired t test; display remains P<0.0001.
Fig. 7B,GART+Ki67+ cells (%),20,20,participant,unpaired,two-sided,Two-sided Welch’s unpaired t test,mean 0.4779; SD 0.2101,mean 41.9419; SD 10.3274,UC–HC mean difference,41.46402755421289,36.629904985235285,46.298150123190496,Welch–Satterthwaite 95% confidence interval,Welch t,17.951623314759722,19.01573318840966,2.213670017245873e-13,<0.0001,None,Original unrounded archived participant-level Prism values,Revised from the historical ordinary equal-variance unpaired t test to Welch's unpaired t test; display remains P<0.0001.
Fig. 7B,GART+MYBL2+Ki67+ cells (%),20,20,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 0.4586; IQR 0.3838–0.7200,median 38.1485; IQR 31.3039–47.3024,Hodges–Lehmann UC–HC location shift,37.456293573388436,34.7641176470588,44.727099567099565,Exact distribution-free interval; achieved coverage 0.9509,Mann–Whitney U (HC rank orientation),0.0,,1.4508889103849688e-11,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7C,GART MFI in EPCAM+ crypt epithelium,53,42,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 8.1886; IQR 7.2949–11.3537,median 24.7085; IQR 16.3985–44.3592,Hodges–Lehmann UC–HC location shift,15.371813774108874,10.49021530151369,25.00595760345464,Exact distribution-free interval; achieved coverage 0.9503,Mann–Whitney U (HC rank orientation),156.0,,8.002802702875952e-16,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7C,OLFM4 MFI in EPCAM+ crypt epithelium,53,42,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 16.4106; IQR 13.5144–19.1001,median 115.8547; IQR 104.7656–133.1149,Hodges–Lehmann UC–HC location shift,99.4157118797302,93.23222351074239,106.78491115570111,Exact distribution-free interval; achieved coverage 0.9503,Mann–Whitney U (HC rank orientation),0.0,,1.1628750579920587e-27,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7C,GART+OLFM4+EPCAM+ objects per crypt ROI,53,42,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 0.1111; IQR 0.0588–0.3636,median 2.7846; IQR 2.0227–3.8958,Hodges–Lehmann UC–HC location shift,2.449874686716792,,,Not reported: 33 pooled observations occurred in tied sets; an exact tie-adjusted HL CI was not forced,Mann–Whitney U (HC rank orientation),73.5,,,<0.0001,None,Original unrounded archived participant-level Prism values,
Fig. 7C,GART+OLFM4+ double-positive area among EPCAM+ epithelium (%),53,42,participant,unpaired,two-sided,Two-sided exact unpaired Mann–Whitney U test,median 3.2316; IQR 2.8336–4.5095,median 17.9584; IQR 11.2094–36.9431,Hodges–Lehmann UC–HC location shift,14.04141295223615,10.12980712694263,22.94153745226301,Exact distribution-free interval; achieved coverage 0.9503,Mann–Whitney U (HC rank orientation),62.0,,1.0526992746351418e-20,<0.0001,None,Original unrounded archived participant-level Prism values,
