mouse_id,group,day,endpoint,value,unit,included_in_primary_analysis,missing_reason,source_record,animal_identity_note
CTRL_DAI_01,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_01,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_02,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_03,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_04,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_05,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,4,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,5,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,6,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,7,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,8,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,9,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_DAI_06,Control,10,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,1,Disease activity index,2.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,3,Disease activity index,2.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,4,Disease activity index,4.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,5,Disease activity index,4.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,6,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,7,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,8,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,9,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_01,Model,10,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,3,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,4,Disease activity index,4.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,5,Disease activity index,4.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,6,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,7,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,8,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,9,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_02,Model,10,Disease activity index,4.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,1,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,2,Disease activity index,0.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,3,Disease activity index,2.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,4,Disease activity index,2.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,5,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,6,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,7,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,8,Disease activity index,8.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_DAI_03,Model,9,Disease activity index,6.0,score,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
