figure,panel,endpoint,planned_mouse_slot,group,planned_n,measured,included_in_analysis,exclusion_or_missing_reason,notes,selection_status,missing_reason,exclusion_status
Figure 8,A,Body weight,CTRL_01,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,CTRL_02,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,CTRL_03,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,CTRL_04,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,CTRL_05,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,CTRL_06,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_01,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_02,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_03,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_04,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_05,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,A,Body weight,DSS_06,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_01,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_02,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_03,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_04,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_05,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,CTRL_06,Control,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_01,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_02,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_03,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_04,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_05,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,B,Disease activity index,DSS_06,Model,6,Yes,Yes,NA,Cross-day trajectory preserved; cross-endpoint animal identity not archived,Full cohort assayed,NA,Not excluded
Figure 8,C,Splenic index,CTRL_01,Control,6,Yes,Yes,NA,Endpoint-specific source positions,Full cohort assayed,NA,Not excluded
Figure 8,C,Splenic index,CTRL_02,Control,6,Yes,Yes,NA,Endpoint-specific source positions,Full cohort assayed,NA,Not excluded
Figure 8,C,Splenic index,CTRL_03,Control,6,Yes,Yes,NA,Endpoint-specific source positions,Full cohort assayed,NA,Not excluded
Figure 8,C,Splenic index,CTRL_04,Control,6,Yes,Yes,NA,Endpoint-specific source positions,Full cohort assayed,NA,Not excluded
Figure 8,C,Splenic index,CTRL_05,Control,6,Yes,Yes,NA,Endpoint-specific source positions,Full cohort assayed,NA,Not excluded
