panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note,statistical_unit,selection_status,aggregation_rule
P,CTRL_IHC_01,Control,ZO-1 integrated optical density,50.37,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_02,Control,ZO-1 integrated optical density,59.4,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_03,Control,ZO-1 integrated optical density,46.28,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_01,Model,ZO-1 integrated optical density,32.26,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_02,Model,ZO-1 integrated optical density,22.51,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_03,Model,ZO-1 integrated optical density,27.72,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_01,Control,Occludin integrated optical density,42.91,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_02,Control,Occludin integrated optical density,49.72,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_03,Control,Occludin integrated optical density,38.04,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_01,Model,Occludin integrated optical density,22.67,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_02,Model,Occludin integrated optical density,17.18,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_03,Model,Occludin integrated optical density,26.72,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_01,Control,Claudin-1 integrated optical density,32.84,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_02,Control,Claudin-1 integrated optical density,29.71,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,CTRL_IHC_03,Control,Claudin-1 integrated optical density,37.06,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_01,Model,Claudin-1 integrated optical density,25.17,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_02,Model,Claudin-1 integrated optical density,22.93,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
P,DSS_IHC_03,Model,Claudin-1 integrated optical density,19.74,arbitrary units,Yes,NA,Final archived endpoint table exported from Prism,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
