panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note
F,CTRL_CBC_01,Control,Hemoglobin (HGB),141.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,CTRL_CBC_02,Control,Hemoglobin (HGB),148.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,CTRL_CBC_03,Control,Hemoglobin (HGB),153.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,CTRL_CBC_04,Control,Hemoglobin (HGB),155.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,CTRL_CBC_05,Control,Hemoglobin (HGB),160.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,CTRL_CBC_06,Control,Hemoglobin (HGB),167.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_01,Model,Hemoglobin (HGB),102.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_02,Model,Hemoglobin (HGB),112.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_03,Model,Hemoglobin (HGB),117.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_04,Model,Hemoglobin (HGB),119.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_05,Model,Hemoglobin (HGB),124.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
F,DSS_CBC_06,Model,Hemoglobin (HGB),134.0,g/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
G,CTRL_CBC_01,Control,Hematocrit (HCT),36.8,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
G,CTRL_CBC_02,Control,Hematocrit (HCT),39.7,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
