mouse_id,group,day,endpoint,value,unit,included_in_primary_analysis,missing_reason,source_record,animal_identity_note
CTRL_BW_01,Control,1,Body weight,23.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,2,Body weight,24.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,3,Body weight,25.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,4,Body weight,24.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,5,Body weight,25.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,6,Body weight,25.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,7,Body weight,25.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,8,Body weight,25.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,9,Body weight,25.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_01,Control,10,Body weight,26.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,1,Body weight,22.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,2,Body weight,23.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,3,Body weight,22.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,4,Body weight,23.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,5,Body weight,23.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,6,Body weight,23.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,7,Body weight,23.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,8,Body weight,23.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,9,Body weight,24.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_02,Control,10,Body weight,24.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,1,Body weight,22.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,2,Body weight,23.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,3,Body weight,23.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,4,Body weight,23.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,5,Body weight,23.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,6,Body weight,24.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,7,Body weight,24.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,8,Body weight,24.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,9,Body weight,25.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_03,Control,10,Body weight,25.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,1,Body weight,22.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,2,Body weight,22.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,3,Body weight,23.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,4,Body weight,23.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,5,Body weight,23.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,6,Body weight,24.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,7,Body weight,24.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,8,Body weight,24.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,9,Body weight,24.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_04,Control,10,Body weight,24.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,1,Body weight,21.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,2,Body weight,22.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,3,Body weight,24.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,4,Body weight,22.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,5,Body weight,23.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,6,Body weight,23.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,7,Body weight,23.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,8,Body weight,24.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,9,Body weight,24.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_05,Control,10,Body weight,24.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,1,Body weight,23.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,2,Body weight,23.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,3,Body weight,24.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,4,Body weight,24.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,5,Body weight,24.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,6,Body weight,24.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,7,Body weight,25.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,8,Body weight,24.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,9,Body weight,25.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
CTRL_BW_06,Control,10,Body weight,25.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,1,Body weight,21.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,2,Body weight,21.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,3,Body weight,22.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,4,Body weight,21.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,5,Body weight,21.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,6,Body weight,20.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,7,Body weight,20.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,8,Body weight,19.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,9,Body weight,19.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_01,Model,10,Body weight,18.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,1,Body weight,22.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,2,Body weight,22.4,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,3,Body weight,22.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,4,Body weight,22.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,5,Body weight,21.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,6,Body weight,21.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,7,Body weight,20.7,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,8,Body weight,19.9,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,9,Body weight,19.1,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_02,Model,10,Body weight,19.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,1,Body weight,22.5,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,2,Body weight,22.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,3,Body weight,23.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,4,Body weight,22.3,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,5,Body weight,21.6,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,6,Body weight,20.8,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,7,Body weight,20.0,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
DSS_BW_03,Model,8,Body weight,20.2,g,Yes,NA,Final archived long-format analysis table,Analysis ID based on stable source-column position; original animal identifier not archived
