panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note
K,CTRL_CYT_01,Control,IL-6,4.077964,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,CTRL_CYT_02,Control,IL-6,14.244014,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,CTRL_CYT_03,Control,IL-6,10.296291,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,CTRL_CYT_04,Control,IL-6,6.502409,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,CTRL_CYT_05,Control,IL-6,19.656574,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,CTRL_CYT_06,Control,IL-6,9.060648,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_01,Model,IL-6,178.899047,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_02,Model,IL-6,224.345092,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_03,Model,IL-6,193.031259,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_04,Model,IL-6,199.892148,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_05,Model,IL-6,154.487548,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
K,DSS_CYT_06,Model,IL-6,196.052867,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_01,Control,IL-17A,6.633995,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_02,Control,IL-17A,13.871384,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_03,Control,IL-17A,15.373287,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_04,Control,IL-17A,12.204772,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_05,Control,IL-17A,16.524256,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,CTRL_CYT_06,Control,IL-17A,16.773346,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_01,Model,IL-17A,292.78914,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_02,Model,IL-17A,280.376437,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_03,Model,IL-17A,292.857382,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_04,Model,IL-17A,424.421565,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_05,Model,IL-17A,265.88421,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
N,DSS_CYT_06,Model,IL-17A,335.367501,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
