panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note,statistical_unit,selection_status,aggregation_rule
B,CTRL_IFB_01,Control,GART MFI in EPCAM+ crypt epithelium,4.34,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_02,Control,GART MFI in EPCAM+ crypt epithelium,2.96,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_03,Control,GART MFI in EPCAM+ crypt epithelium,2.51,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_01,Model,GART MFI in EPCAM+ crypt epithelium,8.85,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_02,Model,GART MFI in EPCAM+ crypt epithelium,10.37,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_03,Model,GART MFI in EPCAM+ crypt epithelium,7.76,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_01,Control,OLFM4 MFI in EPCAM+ crypt epithelium,4.32,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_02,Control,OLFM4 MFI in EPCAM+ crypt epithelium,3.78,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_03,Control,OLFM4 MFI in EPCAM+ crypt epithelium,6.81,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_01,Model,OLFM4 MFI in EPCAM+ crypt epithelium,7.75,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_02,Model,OLFM4 MFI in EPCAM+ crypt epithelium,9.27,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,DSS_IFB_03,Model,OLFM4 MFI in EPCAM+ crypt epithelium,10.03,arbitrary fluorescence units,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
B,CTRL_IFB_01,Control,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,0.14,objects per estimated crypt ROI,Yes,NA,Final archived Prism-derived multiplex IF table,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
