Figure,Panel,Endpoint,Biological_unit,Public_file,Original_file,Original_sheet,Original_object_if_applicable,Final_script,Transformation,Aggregation_rule,N_expected,N_observed,Missing_N,Exclusion_information,Verification_status,Notes
Figure 9,A,GART MFI,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/MYBL2/Ki67 final statistics.pzfx,NA,GART MFI,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,A,GART+Ki67+ cells (%),individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/MYBL2/Ki67 final statistics.pzfx,NA,GART+Ki67+ cells (%),Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,A,GART+MYBL2+Ki67+ cells (%),individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/MYBL2/Ki67 final statistics.pzfx,NA,GART+MYBL2+Ki67+ cells (%),Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,A,Ki67+ cells (%),individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/MYBL2/Ki67 final statistics.pzfx,NA,Ki67+ cells (%),Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,A,MYBL2 nuclear MFI,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/MYBL2/Ki67 final statistics.pzfx,NA,MYBL2 nuclear MFI,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,B,% GART+ among EPCAM+ epithelial cells,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/OLFM4/EPCAM final statistics.pzfx,NA,% GART+ among EPCAM+ epithelial cells,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/OLFM4/EPCAM final statistics.pzfx,NA,% GART+OLFM4+ double-positive among EPCAM+ cells,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/OLFM4/EPCAM final statistics.pzfx,NA,% OLFM4+ among EPCAM+ epithelial cells,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/OLFM4/EPCAM final statistics.pzfx,NA,GART MFI in EPCAM+ crypt epithelium,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,individual mouse,data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv,GART/OLFM4/EPCAM final statistics.pzfx,NA,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,Not recoverable for Figure 9 plotting,Direct export and de-identification only; no numerical transformation,Multiple fields of view were averaged within each mouse before group-level statistical analysis.,6/group original cohort,3/group imaging subset,0 missing; 3/group not selected for this endpoint,Randomly selected imaging subset; remaining animals were not assayed for this endpoint and were not excluded.,VERIFIED_FINAL,Subset was randomly selected before imaging quantification and not according to the final imaging outcome; each plotted point is one distinct mouse.
