panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note,statistical_unit,selection_status,aggregation_rule
A,CTRL_IFA_01,Control,GART MFI,0.24,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,CTRL_IFA_02,Control,GART MFI,0.96,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,CTRL_IFA_03,Control,GART MFI,0.46,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,DSS_IFA_01,Model,GART MFI,12.32,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,DSS_IFA_02,Model,GART MFI,9.38,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,DSS_IFA_03,Model,GART MFI,5.76,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,CTRL_IFA_01,Control,MYBL2 nuclear MFI,2.42,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,CTRL_IFA_02,Control,MYBL2 nuclear MFI,1.88,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,CTRL_IFA_03,Control,MYBL2 nuclear MFI,5.74,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
A,DSS_IFA_01,Model,MYBL2 nuclear MFI,35.96,arbitrary fluorescence units,Yes,NA,Original GraphPad Prism PZFX,De-identified stable mouse ID; each ID represents one distinct individual mouse within the imaging subset.,mouse,Randomly selected imaging subset,Multiple fields of view were averaged within each mouse before group-level statistical analysis.
