Figure,Panel,Analysis,Script,Source_data,Statistical_unit,Status
Figure 1,A,Final revision panel,scripts/01_bulk/04_plot_final_four_cohort_Figure1.R,data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv,donor,Final source mapped
Figure 1,B,Final revision panel,scripts/01_bulk/04_plot_final_four_cohort_Figure1.R,data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv,donor,Final source mapped
Figure 1,C,Final revision panel,scripts/01_bulk/04_plot_final_four_cohort_Figure1.R,data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv,donor,Final source mapped
Figure 1,D,Final revision panel,scripts/01_bulk/04_plot_final_four_cohort_Figure1.R,data_public/figure_source_data/Figure1/Fig1A_four_bulk_cohorts_source_data.csv,donor,Final source mapped
Figure 1,E-H,Final revision panel,scripts/01_bulk/03_four_cohort_meta_analysis.py,data_public/figure_source_data/Figure1/four_cohort_effect_sizes.csv,cohort,Final source mapped
Figure 2,A,Final revision panel,scripts/09_figure_generation/plot_Figure2C_D.R,data_public/figure_source_data/Figure2/Fig2C_GART_detection_source_data.csv,cell (descriptive),Final source mapped
Figure 2,B,Final revision panel,scripts/09_figure_generation/plot_Figure2C_D.R,data_public/figure_source_data/Figure2/Fig2B_faceted_epithelial_marker_dotplot_source_data.csv,cell (descriptive),Final source mapped
Figure 2,C,Final revision panel,scripts/09_figure_generation/plot_Figure2C_D.R,data_public/figure_source_data/Figure2/Fig2C_GART_detection_source_data.csv,cell (descriptive),Final source mapped
Figure 2,D,Final revision panel,scripts/09_figure_generation/plot_Figure2C_D.R,data_public/figure_source_data/Figure2/Fig2D_ISClike_subcluster_source_data.csv,cell (descriptive),Final source mapped
Figure 2,E-F,Final revision panel,scripts/09_figure_generation/plot_Figure2E_F_G.R,data_public/figure_source_data/Figure2/Fig2F_ISClike_subcluster_profiles_source_data.csv,cell (descriptive),Final source mapped
Figure 2,G,Final revision panel,scripts/09_figure_generation/plot_Figure2E_F_G.R,data_public/figure_source_data/Figure2/Fig2G_equal_donor_percentage_source_data.csv,donor,Final source mapped
Figure 3,A,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3A_source_data.csv,donor,Final source mapped
Figure 3,B,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3B_pseudobulk_DEG_source_data.csv,donor,Final source mapped
Figure 3,C,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3C_Hallmark_GSEA_source_data.csv,donor,Final source mapped
Figure 3,D,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3D_Reactome_GO_GSEA_source_data.xlsx,donor,Final source mapped
Figure 3,E,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3E_paired_donor_modules_source_data.csv,donor,Final source mapped
Figure 3,F,Final revision panel,scripts/09_figure_generation/plot_Figure3A_F.R,data_public/figure_source_data/Figure3/Fig3F_cell_cycle_stratified_source_data.csv,donor,Final source mapped
Figure 3,G,Final revision panel,scripts/09_figure_generation/plot_Figure3G.R,data_public/figure_source_data/Figure3/Fig3G_representative_proliferation_nucleotide_gene_effects_source_data.csv,donor,Final source mapped
Figure 4,A,Final revision panel,scripts/05_pseudotime/01_pseudotime_sensitivity.R,data_public/figure_source_data/Figure4/pseudotime_cell_plot_data.csv,cell/gene output,Final source mapped
Figure 4,B,Final revision panel,scripts/05_pseudotime/01_pseudotime_sensitivity.R,data_public/figure_source_data/Figure4/pseudotime_donor_summary.csv,donor,Final source mapped
Figure 4,C,Final revision panel,scripts/09_figure_generation/plot_Figure4C_D_F.R,data_public/figure_source_data/Figure4/Fig4C_source_data.csv,cell/gene output,Final source mapped
Figure 4,D,Final revision panel,scripts/09_figure_generation/plot_Figure4C_D_F.R,data_public/figure_source_data/Figure4/Fig4D_source_data.csv,cell/gene output,Final source mapped
