"package","version"
"abind","1.4-8"
"alabama","2025.1.0"
"Amelia","1.8.3"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.1"
"base64enc","0.1-6"
"bayestestR","0.18.1"
"BB","2026.1.0"
"bbmle","1.0.26"
"bdsmatrix","1.3-7"
"BiasedUrn","2.0.12"
"bit","4.6.0"
"bit64","4.8.4"
"blme","1.0-7"
"brio","1.1.5"
"broom","1.0.13"
"cachem","1.1.0"
"calculus","1.1.0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"checkmate","2.3.4"
"cli","3.6.6"
"clipr","0.8.1"
"clubSandwich","0.7.0"
"cmprsk","2.2-12"
"coda","0.19-4.1"
"colorspace","2.1-3"
"commonmark","2.0.0"
"CompQuadForm","1.4.4"
"correlation","0.8.8"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crosstalk","1.2.2"
"data.table","1.18.6.1"
"datawizard","1.3.1"
"DBI","1.3.0"
"deldir","2.0-4"
"Deriv","4.3.0"
"desc","1.4.3"
"dfoptim","2023.1.0"
"diffobj","0.3.8"
"digest","0.6.39"
"doParallel","1.0.17"
"dotwhisker","0.8.6"
"dplyr","1.2.1"
"effectsize","1.0.3"
"estimability","2.0.0"
"estmeansd","1.0.1"
"etm","1.1.2"
"evaluate","1.0.5"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"Formula","1.2-6"
"fracdiff","1.5-4"
"fs","2.1.0"
"furrr","0.4.0"
"future","1.75.0"
"future.apply","1.20.2"
"gamm4","0.3-0"
"gap","1.15.2"
"generics","0.1.4"
"GLMMadaptive","0.9-7"
"glmulti","1.0.8"
"globals","0.19.1"
"glue","1.8.1"
"gridExtra","2.3.1"
"gsl","2.1-9"
"gtable","0.3.6"
"haven","2.5.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.17"
"httr","1.4.8"
"huxtable","5.8.0"
"insight","1.5.2"
"interp","1.1-6"
"isoband","0.3.0"
"iterators","1.0.14"
"jomo","2.7-6"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"knitr","1.51"
"labeling","0.4.3"
"later","1.4.8"
"latticeExtra","0.6-31"
"lazyeval","0.2.3"
"lbfgsb3c","2024-3.5"
"leaps","3.2"
"lifecycle","1.0.5"
"listenv","1.0.0"
"litedown","0.11"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"magrittr","2.0.5"
"marginaleffects","0.32.0"
"markdown","2.0"
"mathjaxr","2.0-0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
